Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Spiber,https://www.crunchbase.com/organization/spiber,"Advanced Materials, Biotechnology, Life Science","Tsuruoka, Yamagata, Japan",Spiber Inc. is a Japanese biomaterials company engaged in the research of synthetic spider silk and other protein-based materials.,info@spiber.jp,,http://www.spiber.jp/en,For Profit,7,Late Stage Venture,"$20,000,000 ",10/1/16,Grant,"$148,090,000 ","Biotechnology, Manufacturing, Science and Engineering",Private
Sanofi Pasteur,https://www.crunchbase.com/organization/sanofi-pasteur,"Biotechnology, Health Care, Pharmaceutical","Lyon, Rhone-Alpes, France","Sanofi Pasteur SA develops, manufactures, and supplies vaccines in France and internationally.",,33 4 37 37 01 00,http://www.sanofipasteur.com,,1,,"$43,200,000 ",9/27/16,Grant,"$43,200,000 ","Biotechnology, Health Care, Science and Engineering",Private
Gamida Cell,https://www.crunchbase.com/organization/gamida-cell,"Biotechnology, Medical Device, Therapeutics","Jerusalem, Yerushalayim, Israel","Gamida Cell develops stem cell therapy technologies and products for the treatment of blood cancers, autoimmune and metabolic diseases.",marjie@gamida-cell.com,97226595616,http://www.gamida-cell.com,,9,Late Stage Venture,"$3,500,000 ",7/20/17,Grant,"$97,753,820 ","Biotechnology, Health Care, Science and Engineering",Private
Kymab,https://www.crunchbase.com/organization/kymab,"Biotechnology, Medical Device, Therapeutics","Cambridge, Cambridgeshire, United Kingdom",Kymab is engaged in the discovery and development of human monoclonal antibody therapeutics.,andrew.sandham@kymab.com,44 1223 833301,http://www.kymab.com,For Profit,5,Late Stage Venture,"$9,000,000 ",1/10/17,Grant,"$229,400,000 ","Biotechnology, Health Care, Science and Engineering",Private
Karuna Pharmaceuticals,https://www.crunchbase.com/organization/karuna-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Boston, Massachusetts, United States",Karuna Pharmaceuticals is a Massachusetts-based developer of drugs for the treatment of schizophrenia.,info@karunapharma.com,6174823337,http://karunapharma.com,,2,,"$8,000,000 ",6/19/18,Grant,"$8,600,000 ","Biotechnology, Health Care, Science and Engineering",Private
PhaseBio Pharmaceuticals,https://www.crunchbase.com/organization/phasebio-pharmaceuticals,"Biotechnology, Medical, Medical Device, Pharmaceutical","Malvern, Pennsylvania, United States","PhaseBio is a clinical-stage biopharmaceutical company developing drugs for cardiovascular diseases, endocrine and metabolic disorders.",,16109816520,http://www.phasebio.com,For Profit,9,Late Stage Venture,"$2,800,000 ",2/27/18,Grant,"$114,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Metabolomic Diagnostics,https://www.crunchbase.com/organization/metabolomic-diagnostics,"Biotechnology, Health Care, Health Diagnostics","Cork, Cork, Ireland",Metabolomic Diagnostics is commercialising a diagnostic assay that predicts preeclampsia in pregnancy.,info@metabolomicdiagnostics.com,353 2 145 10263,http://metabolomicdiagnostics.com,For Profit,7,,"€2,000,000",5/16/18,Grant,"€5,850,000","Biotechnology, Health Care, Science and Engineering",Private
Profusa,https://www.crunchbase.com/organization/profusa,"Biotechnology, Health Care, Medical, Medical Device, Wellness","San Francisco, California, United States",PROFUSA is a medical devices company creating tissue-integrated sensors for chronic disease management and healthy living.,info@profusacorp.com,(415)655-9861,http://profusacorp.com,For Profit,5,Early Stage Venture,"$7,500,000 ",7/12/16,Grant,"$35,918,821 ","Biotechnology, Health Care, Science and Engineering",Private
Agendia,https://www.crunchbase.com/organization/agendia,"Biotechnology, Genetics, Health Diagnostics, Medical","Amsterdam, Noord-Holland, The Netherlands",Agendia provides molecular diagnostics and personalized treatment plans for cancer patients.,customercare@agendia.com,(204) 621-500_,http://www.agendia.com,For Profit,8,Private Equity,"€4,048,407",7/1/15,Grant,"$147,340,522 ","Biotechnology, Health Care, Science and Engineering",Private
Gecko Biomedical,https://www.crunchbase.com/organization/gecko-biomedical,"Biotechnology, Health Care, Medical Device","Paris, Ile-de-France, France",Gecko Biomedical develops biodegradable sealants and adhesives for wound closure in the field of minimally-invasive surgery.,info@geckobiomedical.com,33 1 76 21 72 28,http://geckobiomedical.com,,5,Early Stage Venture,"€6,000,000",1/24/18,Grant,"€39,200,000","Biotechnology, Health Care, Science and Engineering",Private
Green City Solutions GmbH,https://www.crunchbase.com/organization/green-city-solutions-gmbh,"Architecture, Biotechnology, Clean Energy, CleanTech, Environmental Engineering, Internet of Things, Renewable Energy, Sustainability","Berlin, Berlin, Germany",Green City Solutions GmbH addresses the global problem of air pollution by combining a installed moss culture with IoT technology. ,info@mygcs.de, +49 30 220662730,https://greencitysolutions.de/,For Profit,4,Seed,"€50,000",6/1/17,Grant,"$81,064 ","Biotechnology, Energy, Internet Services, Real Estate, Science and Engineering, Sustainability",Private
SolveBio,https://www.crunchbase.com/organization/solvebio,"Biotechnology, Genetics, Health Diagnostics","New York, New York, United States","SolveBio deploys technology and on-demand expertise to drive precision medicine. We monitor, gather, and secure Genomic Intelligence.",contact@solvebio.com,,http://www.solvebio.com,For Profit,3,Seed,"$1,497,112 ",1/8/18,Grant,"$3,497,112 ","Biotechnology, Health Care, Science and Engineering",Private
Cincinnati Zoo Foundation,https://www.crunchbase.com/organization/cincinnati-zoo-foundation,"Biotechnology, Life Science","Cincinnati, Ohio, United States",Zagat survey ranked the world famous Cincinnati Zoo the #1 attraction in Cincinnati and one of the top zoos in the nation.,,5134756131,http://cincinnatizoo.org,,1,,"$50,000,000 ",6/7/18,Grant,"$50,000,000 ","Biotechnology, Science and Engineering",Private
MeMed,https://www.crunchbase.com/organization/memed,"Biotechnology, Health Care, Health Diagnostics, Medical","Tirat Carmel, Hefa, Israel",MeMed Diagnostics is a personalized diagnostics company.,info@me-med.com,972 4 850 0302,http://www.me-med.com,,5,Late Stage Venture,"$4,079,159 ",2/7/18,Grant,"$7,198,638 ","Biotechnology, Health Care, Science and Engineering",Private
Genomic Expression,https://www.crunchbase.com/organization/genomic-expression,"Biotechnology, Health Care, Medical","New York, New York, United States",Genomic Expression’s technology takes the guesswork out of the process of developing personal diagnostics.,info@genomicexpression.com,2126561866,http://genomicexpression.com,For Profit,4,,"DKK27,000,000",1/3/18,Grant,"$8,324,486 ","Biotechnology, Health Care, Science and Engineering",Private
The Jackson Laboratory,https://www.crunchbase.com/organization/the-jackson-laboratory,"Biotechnology, Genetics, Health Care, Medical","Bar Harbor, Maine, United States",The Jackson Laboratory conducts mammalian genetics research offering scientific services and resources to laboratories and students.,pubinfo@jax.org,(207) 288-6000,http://www.jax.org,For Profit,7,,"$12,500,000 ",2/6/18,Grant,"$91,729,933 ","Biotechnology, Health Care, Science and Engineering",Private
CSATS,https://www.crunchbase.com/organization/csats,"Biotechnology, Health Care, Medical Device","Seattle, Washington, United States",C-SATS is a performance management system for evaluating and improving technique.,info@csats.com,(206)579-3731,http://www.csats.com/,For Profit,3,M&A,"$3,283,516 ",8/9/16,Grant,"$6,533,516 ","Biotechnology, Health Care, Science and Engineering",Private
CellPly,https://www.crunchbase.com/organization/cellply,"Biotechnology, Health Care, Medical","Bologna, Emilia-Romagna, Italy",Cellply is a biomedical company focused on the development of near-patient diagnostic systems.,info@cellply.com,3.9051E+11,http://cellply.com,For Profit,3,Seed,"€2,340,000",5/25/18,Grant,"€4,390,000","Biotechnology, Health Care, Science and Engineering",Private
Vaxess Technologies,https://www.crunchbase.com/organization/vaxess-technologies,"Biotechnology, Health Care","Cambridge, Massachusetts, United States",Vaxess Technologies is a life sciences company that develops technologies for encapsulating and stabilizing biological compounds.,contact@vaxess.com,,http://www.vaxess.com,For Profit,12,Early Stage Venture,"$1,500,000 ",12/14/17,Grant,"$15,527,857 ","Biotechnology, Health Care, Science and Engineering",Private
METAFORA biosystems,https://www.crunchbase.com/organization/metafora-biosystems,"Biotechnology, Health Care, Medical","Évry, Ile-de-France, France","METAFORA biosystems is a biotechnology company developing the use of RBDs, innovative and unmatched ligands of nutrient transporters.",,,http://www.metafora-biosystems.com/en/,For Profit,2,,"€3,200,000",6/11/18,Grant,"€3,250,000","Biotechnology, Health Care, Science and Engineering",Private
Cellerant Therapeutics,https://www.crunchbase.com/organization/cellerant-therapeutics,"Biotechnology, Clinical Trials, Therapeutics","San Carlos, California, United States",Cellerant Therapeutics is a biotechnology company offering products for the regulation of the hematopoietic system.,info@cellerant.com,(650)232-2122,http://www.cellerant.com,For Profit,12,,"$1,500,000 ",9/26/16,Grant,"$109,769,927 ","Biotechnology, Health Care, Science and Engineering",Private
Intact Genomics ,https://www.crunchbase.com/organization/intact-genomics,Biotechnology,"Creve Coeur, Illinois, United States",Intact Genomics provides high-quality life science products and large DNA fragment cloning related services,sales@intactgenomics.com, 314-942-3655,https://www.intactgenomics.com/,,1,,"$1,500,000 ",6/1/18,Grant,"$1,500,000 ","Biotechnology, Science and Engineering",Private
Genesis DNA,https://www.crunchbase.com/organization/genesis-dna,"Biotechnology, Genetics","Cambridge, Massachusetts, United States","Genesis DNA is creating new technologies to make gene synthesis rapid, inexpensive, and sequence invariant.",info@genesisdna.com,,http://www.genesisdna.com/,For Profit,2,Seed,,11/1/15,Grant,"$250,000 ","Biotechnology, Health Care, Science and Engineering",Private
Motus Therapeutics,https://www.crunchbase.com/organization/rhythm-pharmaceuticals,"Biotechnology, Health Care, Therapeutics","Boston, Massachusetts, United States",Motus Therapeutics is a biotechnology company developing peptide therapeutics for the treatment of metabolic diseases.,info@motustx.com,857-264-4280,http://www.motustx.com/,For Profit,8,M&A,"$1,000,000 ",9/24/15,Grant,"$95,900,000 ","Biotechnology, Health Care, Science and Engineering",Private
eTheRNA immunotherapies,https://www.crunchbase.com/organization/etherna,"Biotechnology, Medical Device, Therapeutics","Jette, Brussels Hoofdstedelijk Gewest, Belgium",eTheRNA develops immunotherapies that target the fundamental role of dendritic cells in the human immune system.,,+32 3 369 17 40,http://www.etherna.be/,For Profit,2,Early Stage Venture,"€1,000,000",9/25/17,Grant,"€25,000,000","Biotechnology, Health Care, Science and Engineering",Private
TENSIVE,https://www.crunchbase.com/organization/tensive,"Biotechnology, Medical, Medical Device","Milano, Lombardia, Italy",Tensive is a biomedical startup established in 2012 to develop innovative prostheses aiming to substitute silicone implants.,info@tensivemed.com,3.90257E+11,http://www.tensivemed.com/,For Profit,3,,"€2,690,000",5/31/18,Grant,"€4,740,000","Biotechnology, Health Care, Science and Engineering",Private
Sphere Fluidics,https://www.crunchbase.com/organization/sphere-fluidics,"Biotechnology, Life Science, Pharmaceutical","Cambridge, Cambridgeshire, United Kingdom","Sphere Fluidics develops products for use in single cell analysis and characterization, and provides associated collaborative R&D services.",Info@spherefluidics.com,4.41224E+11,http://www.spherefluidics.com,,6,Late Stage Venture,"€1,600,000",11/27/17,Grant,"$15,004,627 ","Biotechnology, Health Care, Science and Engineering",Private
Synpromics Ltd,https://www.crunchbase.com/organization/synpromics-ltd,"Biotechnology, Genetics, Medical, Therapeutics","Edinburgh, Edinburgh, City of, United Kingdom",Synpromics develops and commercializes synthetic promoters to control gene expressions and regulations.,info@synpromics.com,4.40132E+12,http://www.synpromics.com/,For Profit,3,,"£1,900,000",5/4/18,Grant,"£9,200,000","Biotechnology, Health Care, Science and Engineering",Private
BioCellection,https://www.crunchbase.com/organization/biocellection,"Biotechnology, Recycling, Textiles, Waste Management","San Jose, California, United States",Putting chemistry to work for currently unrecyclable plastics.,hello@biocellection.com,(408)802-5990,http://www.biocellection.com/,For Profit,3,Seed,"$150,000 ",4/30/16,Grant,"$800,000 ","Biotechnology, Manufacturing, Science and Engineering, Sustainability",Private
Adeo Health Science,https://www.crunchbase.com/organization/adeo-health-science,"Biotechnology, Health Care, Organic Food","Boston, Massachusetts, United States",Organic foods with purpose.,admin@adeohealth.com,1.18889E+11,https://adeohealth.com/,For Profit,2,Seed,"$50,000 ",11/2/17,Grant,"$3,128,553 ","Biotechnology, Food and Beverage, Health Care, Science and Engineering",Private
Asceneuron,https://www.crunchbase.com/organization/asceneuron,"Biotechnology, Health Care, Therapeutics","Lausanne, Vaud, Switzerland",Asceneuron develops effective therapeutics for orphan tauopathies and Alzheimer’s disease.,info@asceneuron.com,,http://asceneuron.com,For Profit,2,Early Stage Venture,,10/6/16,Grant,"CHF30,000,000","Biotechnology, Health Care, Science and Engineering",Private
Oraya Therapeutics,https://www.crunchbase.com/organization/oraya-therapeutics,"Biotechnology, Health Care, Medical Device","Newark, California, United States",Oraya Therapeutics develops non-invasive robotically-controlled treatments for inflammatory and neovascular diseases of the eye.,info@orayainc.com,(510)456-3700,http://www.orayainc.com,For Profit,7,Late Stage Venture,"$215,000 ",8/5/14,Grant,"$97,347,081 ","Biotechnology, Health Care, Science and Engineering",Private
ZYOMYX,https://www.crunchbase.com/organization/zyomyx-inc,"Biotechnology, Health Diagnostics, Pharmaceutical","Fremont, Missouri, United States","Zyomyx develops and commercializes diagnostic platforms, including a point-of-care test for HIV/AIDS.",info@zyomyx.com,510-265-8000,http://www.zyomyx.com,,4,,"$7,500,000 ",3/26/14,Grant,"$34,275,015 ","Biotechnology, Health Care, Science and Engineering",Private
Cytox,https://www.crunchbase.com/organization/cytox,"Biotechnology, Genetics","Manchester, Manchester, United Kingdom",Cytox have developed a simple genetic based blood test for the assessment of risk and diagnosis of Alzheimer's Disease.,enquiries@cytoxgroup.com,4.41212E+11,http://cytoxgroup.com,For Profit,6,,"£800,000",3/7/18,Grant,"£10,300,000","Biotechnology, Health Care, Science and Engineering",Private
Skipping Rocks Lab,https://www.crunchbase.com/organization/skipping-rocks-lab,"Biopharma, Biotechnology, Pharmaceutical","London, England, United Kingdom","Skipping Rocks Lab is a London based startup that develops Ooho!, an edible water bottle.",info@skippingrockslab.com,,http://skippingrockslab.com/,,2,,"€50,000",12/1/17,Grant,"$1,121,137 ","Biotechnology, Health Care, Science and Engineering",Private
QUIBIM S.L.,https://www.crunchbase.com/organization/quibim,"Artificial Intelligence, Biotechnology, Clinical Trials, Health Care, Health Diagnostics, Hospital, Pharmaceutical","Valencia, Comunidad Valenciana, Spain",YOUR PRECISION IMAGING COMPANY,info@quibim.com,+34 96 124 32 25,http://www.quibim.com,For Profit,5,Seed,"€1,254,225",9/1/17,Grant,"€2,233,825","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
Biotherapeutics,https://www.crunchbase.com/organization/biotherapeutics,"Biotechnology, Clinical Trials, Health Diagnostics","Blacksburg, Virginia, United States",BioTherapeutics Inc. (BTI) is a pre-clinical stage company,info@biotherapeuticsinc.com,(540) 449-1533,http://biotherapeuticsinc.com/,For Profit,2,,"$800,000 ",6/21/17,Grant,"$800,000 ","Biotechnology, Health Care, Science and Engineering",Private
Puridify,https://www.crunchbase.com/organization/puridify,"Biotechnology, Industrial, Product Design","Stevenage, Herefordshire, United Kingdom",Puridify conducts research and development activities on bioprocessing technologies aimed at advancing industrial biomolecule manufacture.,enquiries@puridify.com,01438 906820,http://www.puridify.com,For Profit,3,M&A,"€50,000",8/1/16,Grant,"$4,869,085 ","Biotechnology, Design, Science and Engineering",Private
FluGen,https://www.crunchbase.com/organization/flugen,"Biotechnology, Health Care, Pharmaceutical","Madison, Wisconsin, United States",FluGen is a biopharmaceutical company specializing on the prevention and treatment of seasonal and pandemic influenza worldwide.,info@flugen.com,(608) 441-2729,http://flugen.com,For Profit,6,Early Stage Venture,"$14,400,000 ",10/18/17,Grant,"$37,829,192 ","Biotechnology, Health Care, Science and Engineering",Private
Univercells,https://www.crunchbase.com/organization/univercells,Biotechnology,"Gosselies, Hainaut, Belgium","Univercells is a One-stop-shop for high-density low-cost biomanufacturing ""end-to-end"" solutions",,,http://univercells.com/,For Profit,4,Early Stage Venture,"€2,400,000",1/23/18,Grant,"$21,786,361 ","Biotechnology, Science and Engineering",Private
Acticor Biotech,https://www.crunchbase.com/organization/acticor-biotech,"Biopharma, Biotechnology, Therapeutics","Paris, Ile-de-France, France",Acticor Biotech is a company a spin-off from INSERM,contact@acticor-biotech.com,33970468640,http://acticor-biotech.com/,For Profit,5,,"€2,200,000",1/4/18,Grant,"€6,800,000","Biotechnology, Health Care, Science and Engineering",Private
J. Craig Venter Institute,https://www.crunchbase.com/organization/j-craig-venter-institute,"Biotechnology, Genetics, Health Care, Non Profit","Rockville, Maryland, United States",J. Craig Venter Institute is a non-profit organization engaged in the research of genomics.,,8582001880,http://www.jcvi.org,,2,,"$25,000,000 ",6/5/14,Grant,"$27,400,000 ","Biotechnology, Health Care, Science and Engineering",Private
Xip,https://www.crunchbase.com/organization/xip,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Berkeley, California, United States",Xip produces disposable blood analyzers that wirelessly upload lab-quality clinical measurements in minutes.,,,http://xip.life,For Profit,6,Early Stage Venture,"$3,000,000 ",6/27/17,Grant,"$7,675,000 ","Biotechnology, Health Care, Science and Engineering",Private
SanBio,https://www.crunchbase.com/organization/sanbio,Biotechnology,"Tokyo, Tokyo, Japan",SanBio is a regenerative medicine company,info@san-bio.com,81362643481,http://sanbio.com/,For Profit,1,,"$20,000,000 ",7/5/17,Grant,"$20,000,000 ","Biotechnology, Science and Engineering",Private
"AxoSim, Inc.",https://www.crunchbase.com/organization/axosim-technologies,"Biopharma, Biotechnology, Life Science, Medical, Neuroscience, Pharmaceutical","New Orleans, Louisiana, United States",AxoSim's Nerve-on-a-Chip is changing preclinical neurological safety and efficacy screening of pharmaceuticals,ben.cappiello@axosim.com,(504)609-3474,http://axosim.com/,For Profit,5,Seed,"$1,770,000 ",9/14/17,Grant,"$2,450,000 ","Biotechnology, Health Care, Science and Engineering",Private
Isto Technologies,https://www.crunchbase.com/organization/isto-technologies,"Biotechnology, Information Technology, Medical Device","St Louis, Missouri, United States",ISTO Technologies is an orthobiologics firm developing biologic products to regenerate and restore function to damaged cartilage and bone.,customerservice@istotech.com,314-995-6049,http://www.istotech.com,,9,M&A,"$1,200,000 ",7/29/15,Grant,"$33,897,298 ","Biotechnology, Health Care, Information Technology, Science and Engineering",Private
PMD Solutions,https://www.crunchbase.com/organization/pmd-solutions,"Bioinformatics, Biotechnology, Health Care, Health Diagnostics, Internet of Things, Medical, Medical Device","Cork, Cork, Ireland",PMD Solutions is a medical device company developing novel CE marked respiratory diagnostic wearables for the hospital and home market. ,info@pmd-solutions.com,+353(0)868874994,http://www.pmd-solutions.com/,For Profit,4,Early Stage Venture,"€4,265,610",4/1/16,Grant,"€9,637,610","Biotechnology, Data and Analytics, Health Care, Internet Services, Science and Engineering",Private
Antera Therapeutics,https://www.crunchbase.com/organization/antera-therapeutics,"Biotechnology, Health Care, Organic Food","Boston, Massachusetts, United States",Antera is creating therapies that will prevent allergy development in children; our first product will focus on peanuts.,info@AnteraTherapeutics.com,(888) 887-4324,https://aralyte.com/,For Profit,3,Seed,,11/1/16,Grant,"$2,284,751 ","Biotechnology, Food and Beverage, Health Care, Science and Engineering",Private
Mekonos Inc.,https://www.crunchbase.com/organization/mekonos-2,"Biotechnology, Nanotechnology, Robotics, Semiconductor","Palo Alto, California, United States","We are a Silicon Valley chip technology startup aimed primarily toward cancer immunotherapy, gene engineering and drug development.",steven@mekonos.com,(408) 717-3690,http://www.mekonos.com,For Profit,7,,"$200,000 ",8/15/17,Grant,"$800,000 ","Biotechnology, Hardware, Science and Engineering, Software",Private
Divergence,https://www.crunchbase.com/organization/divergence,"Agriculture, Biotechnology, Health Care","St Louis, Missouri, United States",Divergence is a research and development company dedicated to the discovery of strategies for the control of parasites and other pests.,info@divergence.com,314-694-9900,http://www.divergence.com,,5,M&A,"$1,200,000 ",4/17/09,Grant,"$21,500,000 ","Agriculture and Farming, Biotechnology, Health Care, Science and Engineering",Private
Direct Supply,https://www.crunchbase.com/organization/direct-supply,Biotechnology,"Milwaukee, North Carolina, United States","The Direct Supply family of companies cares for every critical area of Senior Living, providing everything from equipment and eCommerce to",dsonline@directs.com,(616) 245-1890,http://www.directsupply.com,,1,,"$22,500,000 ",8/25/16,Grant,"$22,500,000 ","Biotechnology, Science and Engineering",Private
MGB Biopharma,https://www.crunchbase.com/organization/mgb-biopharma,"Biotechnology, Health Care, Medical Device","Snodland, Kent, United Kingdom",MGB Biopharma develops DNA minor groove binders-based anti-infective medicines.,enquiries@mgb-biopharma.com,(014) 122-8623,http://www.mgb-biopharma.com,For Profit,5,,"£2,780,000",3/21/18,Grant,"$16,692,988 ","Biotechnology, Health Care, Science and Engineering",Private
Cobra Biologics,https://www.crunchbase.com/organization/cobra-biologics,Biotechnology,"Keele, Stoke-on-Trent, United Kingdom",Cobra Biologics is providing a biologics and pharmaceuticals service.,,(178) 271-4181,http://www.cobrabio.com,For Profit,2,,,2/14/18,Grant,"£2,600,000","Biotechnology, Science and Engineering",Private
PathoVax,https://www.crunchbase.com/organization/pathovax,Biotechnology,"Baltimore, Maryland, United States",PathoVax is a biotech start-up from Johns Hopkins commercializing RGVax.,info@pathovax.com,,https://www.pathovax.com/,For Profit,3,Seed,"$2,500,000 ",1/2/18,Grant,"$3,000,000 ","Biotechnology, Science and Engineering",Private
Avectas,https://www.crunchbase.com/organization/avectas,"Biotechnology, Health Care, Medical","Dublin, Dublin, Ireland",Avectas is a cell engineering technology company that enables drug developers to manufacture potent engineered cell therapies.,,,https://www.avectas.com/,For Profit,1,,"€2,100,000",3/20/18,Grant,"€2,100,000","Biotechnology, Health Care, Science and Engineering",Private
Immatics US,https://www.crunchbase.com/organization/immatics-us,"Bioinformatics, Biopharma, Biotechnology","Texas City, Texas, United States","Immatics US, Inc. was launched in June 2015 by Immatics GmbH and the University of Texas MD Anderson Cancer Center",info@immatics.com,1(832) 871-5270,http://immatics.com/immatics-us-inc/,For Profit,2,,"$40,300,000 ",9/2/15,Grant,"$60,000,000 ","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Private
