Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Allogene Therapeutics,https://www.crunchbase.com/organization/allogene-therapeutics,"Biotechnology, Health Diagnostics, Pharmaceutical","South San Francisco, California, United States",Allogene Therapeutics is a biotechnology company catalyzing cancer treatment through the development of CAR T therapy.,info@allogene.com,,http://allogene.com/,,1,Early Stage Venture,"$411,770,409 ",4/19/18,Series A,"$411,770,409 ","Biotechnology, Health Care, Science and Engineering",Private
Accent Therapeutics,https://www.crunchbase.com/organization/accent-therapeutics,"Biotechnology, Medical, Pharmaceutical, Therapeutics","Lexington, Kentucky, United States",Accent Therapeutics is a biopharmaceutical company.,contactus@accenttx.com.,(339) 970-7400,https://www.accenttx.com/,For Profit,1,Early Stage Venture,"$40,000,000 ",5/18/18,Series A,"$40,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
BlackThorn Therapeutics,https://www.crunchbase.com/organization/blackthorn-therapeutics,"Biopharma, Biotechnology, Health Care, Therapeutics","South San Francisco, California, United States",BlackThorn Therapeutics is a clinical-stage biopharmaceutical company,info@blackthornrx.com,,http://www.blackthornrx.com/,For Profit,2,Early Stage Venture,"$14,000,000 ",1/5/17,Series A,"$54,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Akero Therapeutics,https://www.crunchbase.com/organization/akero-therapeutics,"Biotechnology, Life Science","Cambridge, Massachusetts, United States",Akero Therapeutics is a biotechnology company.,info@akerotx.com,,http://akerotx.com/,,1,Early Stage Venture,"$65,000,000 ",6/25/18,Series A,"$65,000,000 ","Biotechnology, Science and Engineering",Private
Senti Biosciences,https://www.crunchbase.com/organization/senti-biosciences,"Biotechnology, Health Care, Medical","South San Francisco, California, United States","Senti Biosciences is a team of bioengineers, scientists, and entrepreneurs on a mission to treat the most complex and challenging diseases.",contact@sentibio.com,,https://www.sentibio.com/,For Profit,1,Early Stage Venture,"$53,000,000 ",2/27/18,Series A,"$53,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
CAMP4 Therapeutics,https://www.crunchbase.com/organization/camp4-therapeutics,"Biopharma, Biotechnology, Therapeutics","Cambridge, Massachusetts, United States",A Biotechnology Company.,,,https://www.camp4tx.com/,,1,Early Stage Venture,"$30,000,000 ",5/31/18,Series A,"$30,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
PhoreMost,https://www.crunchbase.com/organization/phoremost,"Biopharma, Biotechnology, Health Care","Cambridge, Cambridgeshire, United Kingdom","PhoreMost is a new-model drug discovery company based in Cambridge, UK.",info@phoremost.com,4.40122E+12,http://www.phoremost.com,For Profit,2,Early Stage Venture,"$15,000,000 ",5/15/18,Series A,"$18,800,000 ","Biotechnology, Health Care, Science and Engineering",Private
Escient Pharmaceuticals,https://www.crunchbase.com/organization/escient-pharmaceuticals,"Biotechnology, Pharmaceutical","San Diego, California, United States",Escient Pharmaceuticals is a privately held biotechnology company.,info@escientpharma.com,,http://www.escientpharma.com/,,1,Early Stage Venture,"$40,000,000 ",5/9/18,Series A,"$40,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Deep Genomics,https://www.crunchbase.com/organization/deep-genomics,"Artificial Intelligence, Biotechnology, Genetics, Therapeutics","Toronto, Ontario, Canada",Deep Genomics is using artificial intelligence to build a new universe of life-saving genetic therapies. ,contact@deepgenomics.com,,http://www.deepgenomics.com/,For Profit,3,Early Stage Venture,"$13,000,000 ",9/25/17,Series A,"$16,700,000 ","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
NantOmics,https://www.crunchbase.com/organization/nantomics,"Biotechnology, Cloud Data Services, Genetics","Culver City, California, United States","NantOmics, LLC develops cloud-based molecular profiling tools that help guide cancer patients.",info@nantomics.com,310-883-1300,http://www.nantomics.com,For Profit,1,Early Stage Venture,"$250,800,000 ",6/1/15,Series A,"$250,800,000 ","Biotechnology, Health Care, Information Technology, Internet Services, Science and Engineering",Private
Perfect Day Foods,https://www.crunchbase.com/organization/muufri,"Biotechnology, Food Processing","Cork, Cork, Ireland","Perfect Day Foods Feeding a growing world with sustainable, healthy, humane milk.",hello@perfectdayfoods.com,213-848-8633,http://www.perfectdayfoods.com/,For Profit,4,Early Stage Venture,"$24,700,000 ",2/27/18,Series A,"$26,760,000 ","Biotechnology, Food and Beverage, Science and Engineering",Private
twoXAR,https://www.crunchbase.com/organization/twoxar-incorporated,"Artificial Intelligence, Big Data, Biotechnology, Machine Learning, Pharmaceutical","Palo Alto, California, United States",Artificial intelligence-driven biopharmaceutical company.,,,http://www.twoxar.com,For Profit,3,Early Stage Venture,"$10,000,000 ",3/19/18,Series A,"$14,300,000 ","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Private
Celsius Therapeutics,https://www.crunchbase.com/organization/celsius-therapeutics,"Biotechnology, Emergency Medicine, Genetics, Health Care","Cambridge, Massachusetts, United States",Celsius Therapeutics develop life-changing medicines.,info@celsiustx.com,857-776-7400,http://www.celsiustx.com,,1,Early Stage Venture,"$65,000,000 ",5/15/18,Series A,"$65,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
SiSaf,https://www.crunchbase.com/organization/sisaf,"Biotechnology, Cosmetics, Health Care, Medical","Belfast, Belfast, United Kingdom","SiSaf is a drug delivery company offering topical delivery systems for medical, cosmetic, and skin care applications.",,44 7827 275 663,http://sisaf.co.uk,,3,Early Stage Venture,"$4,300,000 ",5/31/18,Series A,"$8,608,566 ","Biotechnology, Consumer Goods, Health Care, Science and Engineering",Private
"Two Pore Guys, Inc.",https://www.crunchbase.com/organization/two-pore-guys-inc,"Biotechnology, Health Care, Medical, Medical Device","Santa Cruz, California, United States","Hand-held, low cost, single molecule biosensor -- accurate and precise as medical equipment; as easy to use as a glucose monitor",info@twoporeguys.com,(831)515-8515,http://www.twoporeguys.com,For Profit,2,Early Stage Venture,"$24,500,000 ",4/25/17,Series A,"$29,683,662 ","Biotechnology, Health Care, Science and Engineering",Private
Nuritas,https://www.crunchbase.com/organization/nuritas,"Bioinformatics, Biotechnology, Data Mining","Dublin, Dublin, Ireland",Nuritas combines artificial intelligence and genomics to discover and unlock natural bioactive peptides with extraordinary health benefits,info@nuritas.com,+353 (0) 1-430-1290,http://www.nuritas.com,For Profit,4,Early Stage Venture,"€16,000,000",12/20/17,Series A,"€23,900,000","Biotechnology, Data and Analytics, Information Technology, Science and Engineering",Private
Onconano Medicine,https://www.crunchbase.com/organization/onconano-medicine,"Alternative Medicine, Biotechnology, Health Care, Nanotechnology","Dallas, Texas, United States",Onconano Medicine,,,,,2,Early Stage Venture,"$11,658,526 ",5/17/18,Series A,"$17,658,526 ","Biotechnology, Health Care, Science and Engineering",Private
Riffyn,https://www.crunchbase.com/organization/riffyn,"Biotechnology, Pharmaceutical, Software","Oakland, California, United States",Riffyn’s cloud-based software provides computer-aided process design and advanced data analytics to R&D organizations.,hello@riffyn.com,510-543-0077,http://www.riffyn.com/,For Profit,3,Early Stage Venture,"$4,900,000 ",8/1/17,Series A,"$9,900,000 ","Biotechnology, Health Care, Science and Engineering, Software",Private
eGenesis,https://www.crunchbase.com/organization/egenesis,"Biotechnology, Genetics","Somerville, Massachusetts, United States",eGenesis is a life sciences company that aims to advance xenotransplantation procedures for the medical industry.,,,http://www.egenesisbio.com/,For Profit,2,Early Stage Venture,"$38,000,000 ",3/16/17,Series A,"$40,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Labster,https://www.crunchbase.com/organization/labster,"Biotechnology, EdTech, Education","Copenhagen, Hovedstaden, Denmark",Labster is an internationally focused company dedicated to the development of pioneering online tools for teaching science globally.,michael@labster.com,+45 5031 1163,http://www.labster.com,For Profit,2,Early Stage Venture,"$10,000,000 ",9/6/17,Series A,"$13,670,000 ","Biotechnology, Education, Science and Engineering, Software",Private
Notable Labs,https://www.crunchbase.com/organization/notable-labs-2,"Biotechnology, Health Care, Test and Measurement","San Francisco, California, United States",Notable Labs provides personalized drug combination testing service for cancer patients.,info@notablelabs.com,(703)407-0506,http://www.notablelabs.com,For Profit,4,Early Stage Venture,"$14,840,492 ",9/6/17,Series A,"$20,890,492 ","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Private
Quentis Therapeutics,https://www.crunchbase.com/organization/quentis-therapeutics,"Biotechnology, Health Care, Therapeutics","New York, New York, United States",Quentis Therapeutics  a biotechnology company.,Info@quentistx.com,(646) 440-9249,http://www.quentistx.com/,,1,Early Stage Venture,"$48,000,000 ",2/27/18,Series A,"$48,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Cofactor Genomics,https://www.crunchbase.com/organization/cofactor-genomics,"Biotechnology, Clinical Trials, Genetics, Health Care, Health Diagnostics","San Francisco, California, United States",Cofactor Genomics uses RNA to diagnose disease.,info@cofactorgenomics.com,(314) 531-4647,http://cofactorgenomics.com,For Profit,4,Early Stage Venture,"$18,000,000 ",9/18/17,Series A,"$20,950,000 ","Biotechnology, Health Care, Science and Engineering",Private
Synthace,https://www.crunchbase.com/organization/synthace,"Artificial Intelligence, Biotechnology, Internet of Things","London, England, United Kingdom",Synthace uses open source technology to make process in biotechnology move faster.,info@synthace.com,+44 (0) 20 7554 5877,http://synthace.com,For Profit,5,Early Stage Venture,"£7,300,000",9/19/17,Series A,"$19,630,098 ","Artificial Intelligence, Biotechnology, Data and Analytics, Internet Services, Science and Engineering, Software",Private
Gossamer Bio,https://www.crunchbase.com/organization/gossamer-bio,"Biotechnology, Health Care, Therapeutics","San Diego, California, United States",A San Diego-based company focused on the discovery and development of novel and differentiated therapeutic products.,PR@GossamerBio.com,,http://gossamerbio.com/,,1,Early Stage Venture,"$100,000,000 ",1/4/18,Series A,"$100,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Prevail Therapeutics,https://www.crunchbase.com/organization/prevail-therapeutics,"Biotechnology, Health Care, Health Diagnostics, Therapeutics","New York, New York, United States",A biotechnology company.,,,https://www.prevailtherapeutics.com/,,1,Early Stage Venture,"$75,000,000 ",3/8/18,Series A,"$75,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Pivot Bio,https://www.crunchbase.com/organization/pivot-bio,"Agriculture, AgTech, Biotechnology","Berkeley, California, United States","Fueled by an innovative drive and a deep understanding of the microbiome, Pivot Bio is pioneering game-changing advances in crop nutrition.",,,http://www.pivotbio.com/,For Profit,3,Early Stage Venture,"$15,996,489 ",3/23/16,Series A,"$16,746,489 ","Agriculture and Farming, Biotechnology, Science and Engineering",Private
Tropic Biosciences ,https://www.crunchbase.com/organization/tropic-biosciences,"Agriculture, Biotechnology, Farming","London, England, United Kingdom",A UK-based startup using gene-editing technology.,info@tropicbioscience.com,+44 (0) 01603 274442,https://www.tropicbioscience.com/,,1,Early Stage Venture,"$10,000,000 ",6/13/18,Series A,"$10,000,000 ","Agriculture and Farming, Biotechnology, Science and Engineering",Private
AdoRx Therapeutics ,https://www.crunchbase.com/organization/adorx-therapeutics,"Biotechnology, Health Care, Therapeutics","Edinburgh, Edinburgh, City of, United Kingdom",AdoRx Therapeutics is pursuing the discovery of new therapeutics for cancer based on modulation of the adenosine pathway.,info@adorx.com, 01312 433 704,https://adorx.com/,,1,Early Stage Venture,"$10,000,000 ",6/21/18,Series A,"$10,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Viela Bio,https://www.crunchbase.com/organization/viela-bio,"Biopharma, Biotechnology, Health Diagnostics","Gaithersburg, Maryland, United States",Viela Bio is a clinical-stage biotechnology company pioneering and advancing treatments for severe inflammation and autoimmune diseases.,info@vielabio.com,,https://vielabio.com/,For Profit,1,Early Stage Venture,"$250,000,000 ",2/28/18,Series A,"$250,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
NuMedii,https://www.crunchbase.com/organization/numedii,"Biotechnology, Medical, Therapeutics","Menlo Park, California, United States",NuMedii discovers and de-risks effective drugs by translating life sciences big data into therapies.,busdev@numedii.com,650-521-6363,http://numedii.com,,2,Early Stage Venture,"$2,000,000 ",8/17/15,Series A,"$5,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
Ansun BioPharma,https://www.crunchbase.com/organization/ansun-biopharma,"Biopharma, Biotechnology, Clinical Trials","California City, California, United States",Ansun BioPharma is a clinical stage biopharmaceutical company focused on the development of unique host-directed anti-viral,inquiries@ansunbiopharma.com,(858)452-2631,http://www.ansunbiopharma.com/,For Profit,2,Early Stage Venture,"$85,000,000 ",5/14/18,Series A,"$89,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Joyn Bio,https://www.crunchbase.com/organization/joyn-bio,"Biotechnology, Environmental Consulting, Venture Capital","Boston, Massachusetts, United States",A joint venture founded by Bayer and Ginkgo Bioworks developing probiotics for plants.,info@joynbio.com,,http://joynbio.com,,1,Early Stage Venture,"$100,000,000 ",3/20/18,Series A,"$100,000,000 ","Biotechnology, Financial Services, Lending and Investments, Professional Services, Science and Engineering",Private
Expansion Therapeutics,https://www.crunchbase.com/organization/expansion-therapeutics,"Biotechnology, Health Care, Therapeutics","San Diego, California, United States",Pursuing the Vast Potential of Small Molecule Medicines for RNA-Mediated Diseases.,info@expansionrx.com,(858) 764-4290,https://www.expansionrx.com/,,1,Early Stage Venture,"$55,300,000 ",1/3/18,Series A,"$55,300,000 ","Biotechnology, Health Care, Science and Engineering",Private
Blueprint Genetics,https://www.crunchbase.com/organization/blueprint-genetics,"Biotechnology, Genetics, Health Diagnostics","Helsinki, Southern Finland, Finland","Blueprint Genetics is a healthcare firm based in Helsinki, San Francisco and Dubai, providing clinical genetic testing to patients.",support@blueprintgenetics.com,+358 40 2511372,http://www.blueprintgenetics.com,,3,Early Stage Venture,"€14,000,000",7/11/17,Series A,"$26,277,251 ","Biotechnology, Health Care, Science and Engineering",Private
Rain Therapeutics,https://www.crunchbase.com/organization/rain-therapeutics,"Biotechnology, Health Care, Therapeutics","Fremont, California, United States",Rain Therapeutics is a biotechnology company.,info@rainthera.com,510-953-5559,https://www.rainthera.com/,For Profit,2,Early Stage Venture,"$18,400,000 ",5/21/18,Series A,"$19,400,000 ","Biotechnology, Health Care, Science and Engineering",Private
Attenua,https://www.crunchbase.com/organization/attenua,"Biotechnology, Pharmaceutical","Mountain View, California, United States","Attenua, Inc. is a pharmaceutical company developing antitussive (anti-cough) medications.",,,http://www.attenua.com/,,1,Early Stage Venture,"$35,000,000 ",5/1/18,Series A,"$35,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Inivata,https://www.crunchbase.com/organization/inivata,"Biotechnology, Genetics, Health Care, Medical Device","Cambridge, Massachusetts, United States",Inivata is a clinical cancer genomics company harnessing the emerging potential of circulating DNA analysis,press@inivata.com,(440) 207-6389,http://www.inivata.com/,For Profit,2,Early Stage Venture,"£31,500,000",1/26/16,Series A,"£35,500,000","Biotechnology, Health Care, Science and Engineering",Private
BlueRock Therapeutics,https://www.crunchbase.com/organization/bluerock-therapeutics,"Biopharma, Biotechnology, Health Care","Toronto, Ontario, Canada",It is a regenerative medicine company.,opportunities@bluerocktx.com,,http://www.bluerocktx.com,For Profit,1,Early Stage Venture,"$225,000,000 ",12/12/16,Series A,"$225,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Potrero Medical,https://www.crunchbase.com/organization/potrero-medical,"Biotechnology, Health Care, Medical","San Francisco, California, United States",Patient monitoring platform that detects sepsis and fluid overload in ICU patients via urinary catheter,info@potreromed.com,(415) 926-8616,http://www.potreromed.com,,1,Early Stage Venture,"$5,000,000 ",9/14/16,Series A,"$5,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Palleon Pharmaceuticals,https://www.crunchbase.com/organization/palleon-pharma,"Biotechnology, Health Care, Pharmaceutical","Waltham, Massachusetts, United States",Leading biotechnology company .,investors@palleonpharma.com,(508)479-6358,http://palleonpharma.com,For Profit,1,Early Stage Venture,"$47,600,000 ",10/4/17,Series A,"$47,600,000 ","Biotechnology, Health Care, Science and Engineering",Private
Lion TCR ,https://www.crunchbase.com/organization/lion-tcr,"Biotechnology, Health Care, Health Diagnostics, Therapeutics","Singapore, Central Region, Singapore",Lion TCR is a clinical-stage biotechnology company.,info@liontcr.com,+65 6586 9633,http://liontcr.com/,,1,Early Stage Venture,"$20,000,000 ",5/27/18,Series A,"$20,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Vivet Therapeutics,https://www.crunchbase.com/organization/vivet-therapeutics,"Biopharma, Biotechnology, Health Care","Paris, Ile-de-France, France","an emerging biotechnology company developing novel gene therapies for rare,",info@vivet-therapeutics.com,33684755087,http://www.vivet-therapeutics.com/,For Profit,1,Early Stage Venture,"€37,500,000",5/4/17,Series A,"€37,500,000","Biotechnology, Health Care, Science and Engineering",Private
Sarcos,https://www.crunchbase.com/organization/sarcos,"Aerospace, Biotechnology, Industrial Automation, Robotics","Salt Lake City, Utah, United States","Sarcos is a leader in dexterous, tele-operated robotic systems for use in unpredictable and unstructured environments.",sales@sarcos.com,1.18889E+11,http://www.sarcos.com/,For Profit,2,Early Stage Venture,"$15,625,000 ",1/3/17,Series A,"$26,125,000 ","Biotechnology, Hardware, Manufacturing, Science and Engineering, Software",Private
Lygos,https://www.crunchbase.com/organization/lygos,"Advanced Materials, Biotechnology, Clean Energy","Berkeley, California, United States",Lygos is providing biotechnology solutions for today’s renewable chemical challenges.,contact@lygos.com,,http://www.lygos.com,For Profit,2,Early Stage Venture,"$13,000,000 ",12/12/16,Series A,"$13,000,000 ","Biotechnology, Energy, Manufacturing, Science and Engineering, Sustainability",Private
Scioto Biosciences,https://www.crunchbase.com/organization/scioto-biosciences,"Biotechnology, Diabetes, Life Science, Therapeutics","Indianapolis, Indiana, United States",Scioto is a preclinical stage company developing innovative therapies devoted to having a transformative impact,,,http://sciotobiosciences.com,For Profit,2,Early Stage Venture,"$1,800,000 ",5/21/18,Series A,"$2,130,000 ","Biotechnology, Health Care, Science and Engineering",Private
Cedilla Therapeutics,https://www.crunchbase.com/organization/cedilla-therapeutics,"Biotechnology, Therapeutics","Cambridge, Massachusetts, United States",A biotechnology company.,,,https://www.cedillatx.com/,,1,Early Stage Venture,"$56,200,000 ",4/24/18,Series A,"$56,200,000 ","Biotechnology, Health Care, Science and Engineering",Private
Rheos Medicines,https://www.crunchbase.com/organization/rheos-medicines,"Biopharma, Biotechnology, Health Care","Cambridge, Massachusetts, United States",A biopharmaceutical company developing novel medicines that modulate metabolic pathways in immune cells to treat disease.,info@rheosrx.com,857-777-4242,https://rheosrx.com/,,1,Early Stage Venture,"$60,000,000 ",3/22/18,Series A,"$60,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Eligo Bioscience,https://www.crunchbase.com/organization/eligo-bioscience,"Biotechnology, Health Care, Medical","Paris, Ile-de-France, France","Eligobiotics provides a new approach to explore, understand, and control bacterial ecosystems both in human and animals.",,,http://eligo-bioscience.com/,For Profit,4,Early Stage Venture,"$18,000,000 ",9/26/17,Series A,"$22,877,723 ","Biotechnology, Health Care, Science and Engineering",Private
Obsidian Therapeutics,https://www.crunchbase.com/organization/obsidian-therapeutics,"Biotechnology, Health Care, Pharmaceutical","Cambridge, Massachusetts, United States",Aspires to extend adoptive immunotherapy.,info@obsidiantx.com,,http://obsidiantx.com/,,1,Early Stage Venture,"$49,500,000 ",12/6/17,Series A,"$49,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
Cyclica,https://www.crunchbase.com/organization/cyclica,"Artificial Intelligence, Big Data, Biotechnology, Cloud Computing, Pharmaceutical, SaaS","Toronto, Ontario, Canada","Enhancing drug discovery by harnessing big data and predictive analytics; cloud-based, AI-assisted drug discovery",inquiries@cyclicarx.com,+1 (416) 304-9202,http://www.cyclicarx.com,For Profit,5,Early Stage Venture,"$2,250,000 ",7/26/17,Series A,"$6,952,831 ","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Internet Services, Science and Engineering, Software",Private
Locus Biosciences,https://www.crunchbase.com/organization/locus-biosciences,"Biopharma, Biotechnology, Therapeutics","Raleigh, North Carolina, United States",Locus Biosciences develops therapies for infectious disease and the microbiome.,info@locus-bio.com,(919) 313-9648,http://www.locus-bio.com/,For Profit,1,Early Stage Venture,"$19,000,000 ",11/14/17,Series A,"$19,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Adicet Bio,https://www.crunchbase.com/organization/adicet-bio,"Biopharma, Biotechnology, Medical","New York, New York, United States",Adicet Bio operates in the healthcare industry focused on biotechnology business.,,(310) 990-3832,http://www.adicetbio.com,For Profit,2,Early Stage Venture,"$51,000,000 ",1/27/16,Series A,"$65,625,000 ","Biotechnology, Health Care, Science and Engineering",Private
GrAI Matter Labs,https://www.crunchbase.com/organization/grai-matter-labs,"Biotechnology, Semiconductor","Paris, Ile-de-France, France","GrAI Matter Labs, a pioneer of ultra-low power neuromorphic computing.",,,http://www.graimatterlabs.ai/,,1,Early Stage Venture,"$15,000,000 ",4/12/18,Series A,"$15,000,000 ","Biotechnology, Hardware, Science and Engineering",Private
EchoPixel,https://www.crunchbase.com/organization/echopixel,"Biotechnology, Health Care, Medical","Los Altos Hills, California, United States",EchoPixel develops medical imaging devices that enable doctors to use CT images of a patient’s abdomen and display a 3D model.,info@echopixeltech.com,408-512-3891,http://www.echopixeltech.com,,6,Early Stage Venture,"$8,500,000 ",10/19/17,Series A,"$14,349,997 ","Biotechnology, Health Care, Science and Engineering",Private
Casma Therapeutics,https://www.crunchbase.com/organization/casma-therapeutics,"Biotechnology, Health Care, Therapeutics","Cambridge, Massachusetts, United States",Casma Therapeutics is a biotechnology company harnessing the natural cellular process of autophagy to design new medicines.,contact@casmatx.com,,https://www.casmatx.com/,For Profit,1,Early Stage Venture,"$58,500,000 ",5/3/18,Series A,"$58,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
Inozyme ,https://www.crunchbase.com/organization/inozyme,"Biotechnology, Health Care, Medical, Pharmaceutical","Cambridge, Massachusetts, United States",Inozyme  is a biotechnology company that develops medicines to treat rare diseases of calcification.,info@inozyme.com,+1 (857) 330-4340,http://www.inozyme.com/,For Profit,1,Early Stage Venture,"$49,000,000 ",11/15/17,Series A,"$49,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
SpringWorks Therapeutics,https://www.crunchbase.com/organization/springworks-therapeutics,"Biopharma, Biotechnology, Therapeutics","Baltimore, Maryland, United States",SpringWorks is a medicines company.,info@springworkstx.com,(917)330-8560,http://www.springworkstx.com,For Profit,1,Early Stage Venture,"$103,000,000 ",9/25/17,Series A,"$103,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Fulcrum Therapeutics,https://www.crunchbase.com/organization/fulcrum-therapeutics,"Biotechnology, Genetics, Health Care, Therapeutics","Cambridge, Massachusetts, United States",Fulcrum Therapeutics is a biotechnology company developing new medicines to deliver a new future to patients.,info@fulcrumtx.com,(617)651-8851,http://www.fulcrumtx.com/,For Profit,2,Early Stage Venture,"$5,000,000 ",5/10/17,Series A,"$60,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
NextCure,https://www.crunchbase.com/organization/nextcure,"Biopharma, Biotechnology, Health Care","Beltsville, Maryland, United States",NextCure is a biopharmaceutical company focused on discovering and developing next generation immuno-oncology-based drugs.,busdev@nextcure.com,(240)264-1250,http://nextcure.com/,For Profit,1,Early Stage Venture,"$67,000,000 ",1/6/16,Series A,"$67,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
