Organization Name,Organization Name URL,Categories,Headquarters Location,Description,Contact Email,Phone Number,Website,Company Type,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Date,Last Funding Type,Total Funding Amount,Category Groups,IPO Status
Color ,https://www.crunchbase.com/organization/color-genomics,"Biotechnology, Genetics, Machine Learning, Product Design","Burlingame, California, United States",Color Genomics provides a service that helps people proactively manage their health through affordable and clinical-grade genetic data.,support@color.com,+1 (844) 352-6567,https://www.color.com,For Profit,4,Late Stage Venture,"$52,000,000 ",8/16/17,Series C,"$112,000,000 ","Artificial Intelligence, Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering, Software",Private
Metacrine,https://www.crunchbase.com/organization/metacrine,"Biotechnology, Health Care, Medical","San Diego, California, United States",Metacrine is a privately held biotech company  ,info@metacrine.com,(858) 369-7800,http://www.metacrine.com/,For Profit,3,Late Stage Venture,"$65,000,000 ",6/6/18,Series C,"$123,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Neural Analytics,https://www.crunchbase.com/organization/neural-analytics,"Biotechnology, Health Care, Medical Device","Los Angeles, California, United States",Neural Analytics is addressing the global traumatic brain injury epidemic through data science.,info@neuralanalytics.com,8183174999,http://neuralanalytics.com,For Profit,10,Early Stage Venture,"$15,000,000 ",1/8/18,Series B,"$51,667,993 ","Biotechnology, Health Care, Science and Engineering",Private
Moderna Therapeutics,https://www.crunchbase.com/organization/moderna-therapeutics,"Biotechnology, Genetics, Health Care, Medical","Cambridge, Massachusetts, United States",Moderna Therapeutics develops messenger RNA therapeutics that produces human proteins for antibodies inside patient cells.,info@modernatx.com,6175485422,http://www.modernatx.com,For Profit,10,Late Stage Venture,"$125,000,000 ",5/3/18,Series H,"$1,776,600,000 ","Biotechnology, Health Care, Science and Engineering",Private
Exosome Diagnostics,https://www.crunchbase.com/organization/exosome-diagnostics,"Biotechnology, Genetics, Health Care, Health Diagnostics","New York, New York, United States",Exosome Diagnostics develops and commercializes blood-based cancer molecular diagnostics for patient stratification and disease monitoring.,info@exosomedx.com,1(617) 588-0500,http://www.exosomedx.com,For Profit,6,M&A,"$30,000,000 ",7/24/17,Series C,"$112,083,973 ","Biotechnology, Health Care, Science and Engineering",Private
WuXi NextCODE,https://www.crunchbase.com/organization/nextcode-health,"Big Data, Biotechnology, Genetics, Health Care, Health Diagnostics","Cambridge, Massachusetts, United States",WuXi NextCODE is a genomic information company using sequence data to improve health for people around the world.,info@wuxinextcode.com,202-729-4089,https://www.wuxinextcode.com,For Profit,3,M&A,"$165,000,000 ",9/5/17,Series B,"$255,000,000 ","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Private
Helix,https://www.crunchbase.com/organization/helix,"Big Data, Biotechnology, Genetics, Health Care, Personal Health, Wellness","San Carlos, California, United States",Helix is a health company that focuses on personal genomics and connects people with insights into their own DNA.,support@helix.company,+380 382 777 747,http://www.helix.com/,For Profit,2,Early Stage Venture,"$200,000,000 ",3/1/18,Series B,"$320,000,000 ","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Private
Human Longevity,https://www.crunchbase.com/organization/human-longevity,"Biotechnology, Genetics, Health Care, Health Diagnostics","San Diego, California, United States","Human Longevity, Inc. (HLI) ",clientservices@humanlongevity.com,858-249-7500,http://www.humanlongevity.com,,4,Early Stage Venture,"$220,000,000 ",4/5/16,Series B,"$300,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Synthego,https://www.crunchbase.com/organization/stealthy,"Biotechnology, Genetics, Industrial Automation, Innovation Management, Software","Redwood City, California, United States",Synthego is a provider of synthetic RNA solutions for CRISPR Genome Engineering.,info@synthego.com,(888)611-6883,http://www.synthego.com,For Profit,3,Early Stage Venture,"$41,000,000 ",1/4/17,Series B,"$49,544,226 ","Biotechnology, Health Care, Manufacturing, Science and Engineering, Software",Private
WindMIL Therapeutics,https://www.crunchbase.com/organization/windmil-therapeutics,"Biotechnology, Medical Device, Therapeutics","Princeton, New Jersey, United States",WindMIL Therapeutics is developing cell therapies for oncology indications.,,(609)683-5656,https://windmiltherapeutics.com,For Profit,2,Early Stage Venture,"$32,500,000 ",6/18/18,Series B,"$42,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
EarlySense,https://www.crunchbase.com/organization/earlysense,"Biotechnology, Health Care, Medical Device","Ramat Gan, Tel Aviv, Israel","EarlySense, a company developing signal-processing technology, offers EverOn, a contact-free and early detection patient supervision system.",info@earlysense.com,(781) 373-3228,http://www.earlysense.com,For Profit,8,Late Stage Venture,"$25,000,000 ",6/1/16,Series G,"$106,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Health IQ,https://www.crunchbase.com/organization/health-iq,"Biotechnology, Health Care, Life Insurance, Pharmaceutical","Mountain View, California, United States",Learn more about your Health IQ with the world's largest health quiz,hello@healthiq.com,(800) 549-1664,https://www.healthiq.com/,For Profit,3,Late Stage Venture,"$34,600,000 ",11/15/17,Series C,"$81,500,000 ","Biotechnology, Financial Services, Health Care, Science and Engineering",Private
ENYO Pharma,https://www.crunchbase.com/organization/enyo-pharma,"Biopharma, Biotechnology, Medical","Lyon, Rhone-Alpes, France","ENYO Pharma is a biopharmaceutical company based in Lyon, France.",contact@enyopharma.com,33437700219,http://www.enyopharma.com/,For Profit,3,Early Stage Venture,"€40,000,000",6/4/18,Series B,"€64,498,229","Biotechnology, Health Care, Science and Engineering",Private
DNAnexus,https://www.crunchbase.com/organization/dnanexus,"Bioinformatics, Biotechnology, Cloud Computing, Genetics, Medical","Mountain View, California, United States",DNAnexus combines expertise in cloud computing and bioinformatics to create a global network for genomic medicine.,info@dnanexus.com,6506173201,http://dnanexus.com,For Profit,5,Late Stage Venture,"$58,000,000 ",1/2/18,Series E,"$104,550,000 ","Biotechnology, Data and Analytics, Health Care, Internet Services, Science and Engineering, Software",Private
Relievant Medsystems,https://www.crunchbase.com/organization/relievant-medsystems,"Biotechnology, Health Care, Medical","Redwood City, California, United States",Relievant provides patients with low risk therapy that affords the ability to alleviate their back pain.,info@relievant.com,650-368-1000,http://www.relievant.com,,7,Late Stage Venture,"$58,000,000 ",6/26/18,Series E,"$153,550,000 ","Biotechnology, Health Care, Science and Engineering",Private
Modern Meadow,https://www.crunchbase.com/organization/modern-meadow,"Advanced Materials, Agriculture, Biotechnology","Brooklyn, New York, United States",Modern Meadow is biofabricating a revolution in materials and ingredients for consumers and the planet.,hello@modernmeadow.com,347-689-4317,http://www.modernmeadow.com,For Profit,3,Early Stage Venture,"$40,000,000 ",6/28/16,Series B,"$53,500,000 ","Agriculture and Farming, Biotechnology, Manufacturing, Science and Engineering",Private
Guardant Health,https://www.crunchbase.com/organization/guardant-health,"Biotechnology, Health Care, Health Diagnostics","Redwood City, California, United States",Guardant Health is committed to positively and significantly impacting patient health through technology breakthroughs in oncology.,press@guardanthealth.com,650-290-7575,http://guardanthealth.com,For Profit,6,Late Stage Venture,"$360,000,000 ",5/11/17,Series E,"$550,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
"Auris Health, Inc.",https://www.crunchbase.com/organization/auris-surgical-robotics,"Biotechnology, Medical, Medical Device, Robotics","San Carlos, California, United States",Auris Health develops robotics technology for medical applications.,,(650)610-0750,http://www.aurisrobotics.com,For Profit,5,Late Stage Venture,"$280,210,782 ",8/4/17,Series D,"$513,296,837 ","Biotechnology, Hardware, Health Care, Science and Engineering, Software",Private
HeartFlow,https://www.crunchbase.com/organization/heartflow,"Biotechnology, Health Diagnostics, Medical","Redwood City, California, United States",HeartFlow is a cardiovascular diagnostics company developing solutions for the non-invasive diagnosis of coronary artery disease.,info@heartflow.com,650-241-1221,http://heartflow.com,,6,Late Stage Venture,"$240,000,000 ",2/14/18,Series E,"$476,646,417 ","Biotechnology, Health Care, Science and Engineering",Private
Edico Genome,https://www.crunchbase.com/organization/edico-genome,"Big Data, Biotechnology, Genetics","La Jolla, California, United States",Edico Genome Inc. develops cutting edge solutions that power the genomic revolution,info@edicogenome.com,858-699-1212,http://www.edicogenome.com/,,3,M&A,"$22,000,000 ",5/9/17,Series B,"$32,000,000 ","Biotechnology, Data and Analytics, Health Care, Science and Engineering",Private
"Pear Therapeutics, Inc.",https://www.crunchbase.com/organization/pear-therapeutics,"Biotechnology, mHealth, Therapeutics","Boston, Massachusetts, United States","Pear discovers, develops, and commercializes Prescription Digital Therapeutics to treat diseases with high unmet need.",info@peartherapeutics.com,,http://peartherapeutics.com/,For Profit,3,Early Stage Venture,"$50,000,000 ",1/2/18,Series B,"$70,000,000 ","Biotechnology, Health Care, Mobile, Science and Engineering",Private
Cue,https://www.crunchbase.com/organization/cue-2,"Biotechnology, Food and Beverage, Health Care","San Diego, California, United States","Cue helps users track their health at the molecular level, revealing the interplay of activity, food & sleep.",help@cue.me,(858)412-8151,http://cue.me,For Profit,6,Early Stage Venture,"$40,000,000 ",5/11/18,Series B,"$63,000,000 ","Biotechnology, Food and Beverage, Health Care, Science and Engineering",Private
Cibus ,https://www.crunchbase.com/organization/cibus,"Agriculture, Biotechnology, Health Care","San Diego, California, United States",Cibus has developed plant and microbial platforms .,info@cibus.com,+1 858-450-0008,https://www.cibus.com/index.php,For Profit,2,Late Stage Venture,"$70,000,000 ",6/26/18,Series C,"$127,031,413 ","Agriculture and Farming, Biotechnology, Health Care, Science and Engineering",Private
Bolt Threads,https://www.crunchbase.com/organization/bolt-threads,"Biotechnology, Fashion, Manufacturing","Emeryville, California, United States",Engineering the next generation of high-performance fashion fibers.,hello@boltthreads.com,(415) 325-5912,http://www.boltthreads.com,For Profit,4,Late Stage Venture,"$123,000,000 ",11/9/17,Series D,"$212,999,999 ","Biotechnology, Clothing and Apparel, Design, Manufacturing, Science and Engineering",Private
Apeel Sciences,https://www.crunchbase.com/organization/apeel-sciences,"Advanced Materials, Agriculture, Biotechnology","Santa Barbara, California, United States",Apeel Sciences develops plant-derived shelf life extension technology for fresh produce that improves quality and reduces food waste.,info@apeelsciences.com,(877)926-5184,http://Apeel.com,For Profit,3,Early Stage Venture,"$33,000,000 ",12/13/16,Series B,"$40,000,564 ","Agriculture and Farming, Biotechnology, Manufacturing, Science and Engineering",Private
Innovent Biologics,https://www.crunchbase.com/organization/innovent-biologics,"Biopharma, Biotechnology, Manufacturing","Suzhou, Jiangsu, China",Innovent Biologics is a biopharmaceutical company developing and manufacturing monoclonal antibodies.,info@innoventbio.com,0512-69566088,http://www.innoventbio.com,For Profit,4,Late Stage Venture,"$150,000,000 ",4/27/18,Series E,"$535,000,000 ","Biotechnology, Health Care, Manufacturing, Science and Engineering",Private
Nohla Therapeutics,https://www.crunchbase.com/organization/nohla-therapeutics,"Biotechnology, Health Diagnostics, Therapeutics","Seattle, Washington, United States",Nohla Therapeutics is a developing an shelf alternative to bone marrow transplants,info@nohlatherapeutics.com,1(206)519-5300,https://nohlatherapeutics.com/,For Profit,3,Early Stage Venture,"$45,000,000 ",5/15/18,Series B,"$109,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
Epic Sciences,https://www.crunchbase.com/organization/epic-sciences,"Biotechnology, Health Care, Health Diagnostics","La Jolla, California, United States",Epic Sciences is a diagnostics company improving cancer management by providing real-time biopsy material to guide personalized medicine.,cdx@epicsciences.com,(858) 356-6610,http://www.epicsciences.com,For Profit,5,Late Stage Venture,"$40,000,000 ",4/28/17,Series D,"$100,500,000 ","Biotechnology, Health Care, Science and Engineering",Private
Adaptive Biotechnologies,https://www.crunchbase.com/organization/adaptive-biotechnologies,"Biotechnology, Health Care, Therapeutics","Seattle, Washington, United States",The leader in combining high-throughput sequencing and expert bioinformatics to profile T-cell and B-cell receptors.,info@adaptivebiotech.com,(206) 659-0067,http://adaptivebiotech.com,For Profit,8,Late Stage Venture,"$195,000,000 ",5/7/15,Series F,"$411,350,000 ","Biotechnology, Health Care, Science and Engineering",Private
Sirnaomics,https://www.crunchbase.com/organization/sirnaomics,"Biopharma, Biotechnology, Medical Device","Gaithersburg, Maryland, United States",Sirnaomics is a biopharmaceutical company developing therapeutics for critical human diseases by using RNA interference (RNAi) technology.,info-office@sirnaomics.com,1.13017E+11,http://www.sirnaomics.com,For Profit,4,Late Stage Venture,"$25,000,000 ",6/6/18,Series C,"$35,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Immunocore,https://www.crunchbase.com/organization/immunocore,"Biotechnology, Medical, Pharmaceutical","Abingdon, Oxfordshire, United Kingdom","Immunocore is a privately owned, clinical-stage, UK-based biotechnology company, focused on the discovery and development of novel T cell",info@immunocore.com,4.40124E+12,http://immunocore.com,For Profit,2,Early Stage Venture,"$40,000,000 ",9/18/17,Series B,"$360,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Neurotrack,https://www.crunchbase.com/organization/neurotrack-technologies,"Biotechnology, Health Care, Health Diagnostics, Information Technology","Redwood City, California, United States",Transforming the diagnosis and prevention of memory loss.,elli@neurotrack.com,404-402-9863,http://neurotrack.com,For Profit,6,Early Stage Venture,"$13,700,000 ",3/20/18,Series B,"$26,090,000 ","Biotechnology, Health Care, Information Technology, Science and Engineering",Private
Preceptis Medical,https://www.crunchbase.com/organization/preceptis-medical,"Biotechnology, Health Care, Medical, Medical Device","Plymouth, Minnesota, United States",Preceptis Medical develops surgical tools that allow ear tube procedures to be performed with less pain and surgical time.,info@preceptismedical.com,(763)568-7810,http://www.preceptismedical.com,For Profit,8,Early Stage Venture,,6/15/18,Series B,"$9,484,997 ","Biotechnology, Health Care, Science and Engineering",Private
InSphero,https://www.crunchbase.com/organization/insphero,"Biotechnology, Health Care, Medical","Zürich, Zurich, Switzerland","InSphero is a leading supplier of organotypic, biological, in vitro 3D microtissues for highly predictive drug testing.",,41 44 515 04 90,http://www.insphero.com,For Profit,4,Late Stage Venture,"$10,000,000 ",6/13/18,Series D,"$34,990,793 ","Biotechnology, Health Care, Science and Engineering",Private
ITeos Therapeutics,https://www.crunchbase.com/organization/iteos-therapeutics,"Biotechnology, Health Care, Medical","Gosselies, Hainaut, Belgium","ITeos Therapeutics is a biotechnology company that specializes in tumor immunology, cancer immunotherapy, and drug discovery.",,3271919934,http://iteostherapeutics.com/,For Profit,2,Early Stage Venture,"$75,000,000 ",6/20/18,Series B,"$78,185,137 ","Biotechnology, Health Care, Science and Engineering",Private
Genalyte,https://www.crunchbase.com/organization/genalyte,"Biotechnology, Health Care, Hospital","San Diego, California, United States",Genalyte is a life sciences company developing and commercializing innovative next-generation multiplexing technology.,sales@genalyte.com,8587504464,http://www.genalyte.com,For Profit,3,Late Stage Venture,"$36,000,000 ",11/20/16,Series D,"$91,800,000 ","Biotechnology, Health Care, Science and Engineering",Private
Stemcentrx,https://www.crunchbase.com/organization/stem-centrx,"Biotechnology, Health Diagnostics, Therapeutics","South San Francisco, California, United States",Stemcentrx develops therapies and diagnostics for cancer patients.,bd@stemcentrx.com,16504910116,http://stemcentrx.com,For Profit,4,M&A,"$250,000,000 ",9/9/15,Series G,"$515,526,990 ","Biotechnology, Health Care, Science and Engineering",Private
Assurex Health,https://www.crunchbase.com/organization/assurerx-health,"Biotechnology, Genetics, Medical Device, Pharmaceutical","Mason, Ohio, United States",Assurex Health offers a medicine platform technology for clinicians to determine drugs for patients with chronic medical conditions.,support@assurexhealth.com,(866) 757-9204,http://www.assurexhealth.com,For Profit,10,M&A,"$15,000,000 ",12/21/15,Series D,"$119,680,725 ","Biotechnology, Health Care, Science and Engineering",Private
Medrobotics,https://www.crunchbase.com/organization/medrobotics,"Biotechnology, Hardware, Health Care, Robotics","Raynham, Massachusetts, United States",Medrobotics Corporation is a medical robotics company developing and commercializing the Flex Robotic System.,customerservice@medrobotics.com,1.15087E+11,http://medrobotics.com,For Profit,13,Late Stage Venture,"$20,000,000 ",1/26/17,Series H,"$181,504,781 ","Biotechnology, Hardware, Health Care, Science and Engineering, Software",Private
Orchard Therapeutics,https://www.crunchbase.com/organization/orchard-therapeutics,"Biotechnology, Genetics, Health Care, Health Diagnostics","London, England, United Kingdom",Orchard Therapeutics is a biotechnology company,info@orchard-tx.com,4.40204E+13,http://www.orchard-tx.com/,For Profit,3,Early Stage Venture,"$110,000,000 ",12/20/17,Series B,"$160,541,234 ","Biotechnology, Health Care, Science and Engineering",Private
Neuronetics,https://www.crunchbase.com/organization/neuronetics,"Biotechnology, Medical Device, Therapeutics","Malvern, Pennsylvania, United States",Neuronetics is a develops non-invasive therapies for psychiatric and neurological disorders.,info@neuronetics.com,1(877) 600-7555,http://www.neuronetics.com,For Profit,8,Late Stage Venture,"$15,000,000 ",6/6/17,Series G,"$176,300,000 ","Biotechnology, Health Care, Science and Engineering",Private
IDEAYA Biosciences,https://www.crunchbase.com/organization/ideaya-biosciences,"App Discovery, Biotechnology, Health Care","South San Francisco, California, United States",IDEAYA Biosciences is an oncology-focused biotechnology company committed to the discovery of breakthrough synthetic lethality,info@ideayabio.com,(650)491-9600,http://www.ideayabio.com/,For Profit,2,Early Stage Venture,"$94,000,000 ",3/15/18,Series B,"$140,000,000 ","Apps, Biotechnology, Health Care, Sales and Marketing, Science and Engineering, Software",Private
Unchained Labs,https://www.crunchbase.com/organization/unchained-labs,"Biotechnology, Medical Device, Product Research","Pleasanton, California, United States",We're building the next cool life sciences tools company. One that matters.,info@unchainedlabs.com,(925) 587-9800,https://www.unchainedlabs.com/,For Profit,4,Late Stage Venture,"$17,000,000 ",3/27/18,Series D,"$80,000,000 ","Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",Private
Zephyr Health,https://www.crunchbase.com/organization/zephyr-health,"Biotechnology, Health Care, Life Science, Pharmaceutical","San Francisco, California, United States",The leading insights-as-a-service solution built specifically for Life Sciences companies addressing critical business and patient needs,info@zephyrhealth.com,(415) 529-7649,https://zephyrhealth.com,For Profit,3,Late Stage Venture,"$17,477,051 ",8/19/15,Series C,"$33,477,051 ","Biotechnology, Health Care, Science and Engineering",Private
BridgeBio,https://www.crunchbase.com/organization/bridgebio,"Biotechnology, Life Science, Medical","Palo Alto, California, United States",BridgeBio is a company that focuses on genetic disease therapies and develops those assets with the right approach in supporting R&D.,pr@bridgebio.com,(650) 521-0894,http://bridgebio.com/,For Profit,1,Late Stage Venture,"$135,000,000 ",9/13/17,Series C,"$135,000,000 ","Biotechnology, Health Care, Science and Engineering",Private
Fog Pharmaceuticals,https://www.crunchbase.com/organization/fog-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical","Boston, Massachusetts, United States",Fog Pharmaceuticals,info@forgpharma.com,(781)929-9187,http://www.fogpharma.com,For Profit,2,Early Stage Venture,"$66,000,000 ",5/16/18,Series B,"$73,425,915 ","Biotechnology, Health Care, Science and Engineering",Private
Aminex Therapeutics,https://www.crunchbase.com/organization/aminex-therapeutics,"Biotechnology, Therapeutics","Kirkland, Washington, United States",Aminex Therapeutics develops small molecule based cancer treatment solutions.,markburns@aminextherapeutics.com,(425) 286-4222,http://www.aminextx.com,For Profit,4,Early Stage Venture,"$10,000,000 ",6/20/18,Series B,"$16,002,697 ","Biotechnology, Health Care, Science and Engineering",Private
Hangzhou Just Biotherapeutics (Just China),https://www.crunchbase.com/organization/hangzhou-just-biotherapeutics-just-china,"Biopharma, Biotechnology, Medical","Hangzhou, Zhejiang, China", Hangzhou Just Biotherapeutics  is a comprehensive high-tech design company.,media@justbiochina.com,57128279502,http://www.justbiochina.com/just-en/,For Profit,2,Early Stage Venture,"$35,000,000 ",6/6/18,Series B,"$94,617,032 ","Biotechnology, Health Care, Science and Engineering",Private
SetPoint Medical,https://www.crunchbase.com/organization/setpoint-medical,"Biotechnology, Medical Device, Neuroscience","Valencia, California, United States",SetPoint Medical treats patients with debilitating inflammatory diseases using proprietary implantable bioelectronic devices.,info@setpointmedical.com,661-750-6140,http://www.setpointmedical.com,For Profit,7,Late Stage Venture,"$30,000,000 ",8/28/17,Series D,"$84,300,000 ","Biotechnology, Health Care, Science and Engineering",Private
Prenetics,https://www.crunchbase.com/organization/prenetics,"Biotechnology, Genetics, Life Science","Hong Kong, Hong Kong Island, Hong Kong",Prenetics is the leading genetic testing/digital health company in Southeast Asia.,care@prenetics.com,(852) 221-0958,http://www.prenetics.com/,For Profit,3,Early Stage Venture,"$40,000,000 ",10/17/17,Series B,"$52,650,000 ","Biotechnology, Health Care, Science and Engineering",Private
Caribou Biosciences,https://www.crunchbase.com/organization/caribou-biosciences,"Biopharma, Biotechnology, Genetics, Health Care","Berkeley, California, United States",Caribou Biosciences is a biotechnology company in genome engineering. We develop technology-based solutions for cellular.,info@cariboubiosciences.com,(510) 982-6030,http://www.cariboubio.com/,For Profit,3,Early Stage Venture,"$30,000,000 ",5/16/16,Series B,"$44,464,846 ","Biotechnology, Health Care, Science and Engineering",Private
Benson Hill Biosystems,https://www.crunchbase.com/organization/benson-hill-biosystems,"Agriculture, Biotechnology, Cloud Computing","Raleigh, North Carolina, United States",Benson Hill Biosystems is an agricultural biotechnology company focused on the development of traits to increase intrinsic crop yield.,info@bensonhillbio.com,9193136636,http://www.bensonhillbio.com,For Profit,8,Early Stage Venture,"$25,000,000 ",5/28/17,Series B,"$34,680,971 ","Agriculture and Farming, Biotechnology, Internet Services, Science and Engineering, Software",Private
Inocucor Technologies,https://www.crunchbase.com/organization/inocucor,"Agriculture, Biotechnology, Natural Resources","Montréal, Quebec, Canada",Inocucor Technologies develops sustainable biological products,info@inocucor.com,1(438) 968-2100,http://inocucor.com/,For Profit,8,Early Stage Venture,"$15,900,000 ",4/20/18,Series B,"$72,955,931 ","Agriculture and Farming, Biotechnology, Natural Resources, Science and Engineering, Sustainability",Private
Intarcia Therapeutics,https://www.crunchbase.com/organization/intarcia-therapeutics,"Biotechnology, Health Care, Medical Device","Hayward, California, United States",Intarcia Therapeutics is a biopharmaceutical company developing therapies for diseases that require long-term chronic treatment.,busdev@intarcia.com,617-936-2500,http://www.intarcia.com,For Profit,20,Late Stage Venture,"$200,000,000 ",9/27/17,Series E,"$1,610,405,937 ","Biotechnology, Health Care, Science and Engineering",Private
TCR2,https://www.crunchbase.com/organization/tcr2,"Biotechnology, Life Science, Medical, Pharmaceutical","Cambridge, Massachusetts, United States",TCR2 is a discovery stage pharmaceutical company that developed a unique proprietary TRuC™ platform.,,617.475.8469,http://www.tcr2.com/,For Profit,3,Early Stage Venture,"$125,000,000 ",3/21/18,Series B,"$173,300,000 ","Biotechnology, Health Care, Science and Engineering",Private
