Organization/Person Name,Organization/Person Name URL,Categories,Number of Funding Rounds,Last Funding Amount ($),Last Funding Type,Last Equity Funding Amount ($),Last Equity Funding Type,Total Equity Funding Amount ($),Total Funding Amount ($),
Cell Design Labs,https://www.crunchbase.com/organization/cell-design-labs,"Health Care, Therapeutics",1,34400000,Venture - Series Unknown,34400000,Venture - Series Unknown,34400000,34400000,2016
Purigen Biosystems,https://www.crunchbase.com/organization/purigen-biosystems,"Health Care, Health Diagnostics",4,18200000,Series A,18200000,Series A,31211856,32241856,2016
Gauss Surgical,https://www.crunchbase.com/organization/gauss-surgical,"Medical, Medical Device, Mobile",6,12600000,Series B,12600000,Series B,31452989,31452989,2016
Transcriptic,https://www.crunchbase.com/organization/transcriptic,"Robotics, SaaS",7,13400000,Series A,13400000,Series A,27770000,27770000,2016
Biodesy,https://www.crunchbase.com/organization/biodesy,"Health Care, Medical",3,10000000,Series B,10000000,Series B,25350009,25350009,2016
Applied StemCell,https://www.crunchbase.com/organization/applied-stemcell,"Genetics, Health Diagnostics, Medical",4,19000000,Series D,19000000,Series D,23520763,23520763,2016
Fe3 Medical,https://www.crunchbase.com/organization/fe3-medical,"Health Care, Medical",5,3500000,Series B,3500000,Series B,22709458,22709458,2016
C2 Therapeutics,https://www.crunchbase.com/organization/c2-therapeutics,"Health Care, Therapeutics",5,1930000,Debt Financing,11628126,Venture - Series Unknown,17034582,21514582,2016
Cala Health,https://www.crunchbase.com/organization/cala-health,"Medical, Neuroscience",2,18000000,Series B,18000000,Series B,21300000,21300000,2016
3Scan,https://www.crunchbase.com/organization/3scan,"Health Diagnostics, Medical",5,14000000,Series B,14000000,Series B,20713012,21063012,2016
 Spruce Biosciences,https://www.crunchbase.com/organization/spruce-biosciences,,1,20000000,Series A,20000000,Series A,20000000,20000000,2016
Aridis Pharmaceuticals,https://www.crunchbase.com/organization/aridis-pharmaceuticals,,2,15216241,Venture - Series Unknown,15216241,Venture - Series Unknown,15216241,18716241,2016
Retrotope,https://www.crunchbase.com/organization/retrotope,"Health Care, Medical",3,2727000,Debt Financing,14532456,Venture - Series Unknown,14532456,17259456,2016
Pivot Bio,https://www.crunchbase.com/organization/pivot-bio,"Agriculture, AgTech",3,15996489,Series A,15996489,Series A,16746489,16746489,2016
nVision Medical,https://www.crunchbase.com/organization/nvision-medical,"Health Care, Medical",4,12000000,Series B,12000000,Series B,16405000,16405000,2016
Credence MedSystems,https://www.crunchbase.com/organization/credence-medsystems,"Biopharma, Pharmaceutical",1,15000000,Series A,15000000,Series A,15000000,15000000,2016
Lygos,https://www.crunchbase.com/organization/lygos,"Advanced Materials, Clean Energy",2,13000000,Series A,13000000,Series A,13000000,13000000,2016
Glycomine,https://www.crunchbase.com/organization/glycomine,,1,12000000,Series A,12000000,Series A,12000000,12000000,2016
Genten Therapeutics,https://www.crunchbase.com/organization/genten-therapeutics,,1,12000000,Venture - Series Unknown,12000000,Venture - Series Unknown,12000000,12000000,2016
Whi,https://www.crunchbase.com/organization/whi,"Health Care, Women's",3,375000,Debt Financing,,,,11692850,2016
Focal Therapeutics,https://www.crunchbase.com/organization/focal-therapeutics,"Medical Device, Therapeutics",2,3826471,Venture - Series Unknown,3826471,Venture - Series Unknown,11646471,11646471,2016
Inscopix,https://www.crunchbase.com/organization/inscopix,"Biopharma, Medical, Medical Device",1,10000000,Series A,10000000,Series A,10000000,10000000,2016
Revitope Oncology,https://www.crunchbase.com/organization/revitope-oncology,"Medical, Therapeutics",1,8500000,Venture - Series Unknown,8500000,Venture - Series Unknown,8500000,8500000,2016
CRS Bio,https://www.crunchbase.com/organization/crs-bio,,1,8400000,Venture - Series Unknown,8400000,Venture - Series Unknown,8400000,8400000,2016
Globavir,https://www.crunchbase.com/organization/globavir,"Health Diagnostics, Therapeutics",3,1500000,Private Equity,1500000,Private Equity,7500000,7500000,2016
EpiBiome,https://www.crunchbase.com/organization/epibiome,Health Care,3,1000000,Debt Financing,6000000,Series A,6000000,7100000,2016
Nirmidas Biotech,https://www.crunchbase.com/organization/nirmidas-biotech,Health Diagnostics,2,5000000,Series A,5000000,Series A,7000000,7000000,2016
Thrive Agrobiotics,https://www.crunchbase.com/organization/thrive-agrobiotics,"Life Science, Therapeutics",1,6666667,Venture - Series Unknown,6666667,Venture - Series Unknown,6666667,6666667,2016
InCarda Therapeutics,https://www.crunchbase.com/organization/incarda-therapeutics,"Health Diagnostics, Therapeutics",4,,Venture - Series Unknown,,Venture - Series Unknown,5566977,5876977,2016
Exotech Bio,https://www.crunchbase.com/organization/exotech-bio,"Health Care, Pharmaceutical",1,5000376,Venture - Series Unknown,5000376,Venture - Series Unknown,5000376,5000376,2016
Potrero Medical,https://www.crunchbase.com/organization/potrero-medical,"Health Care, Medical",1,5000000,Series A,5000000,Series A,5000000,5000000,2016
Nano Precision Medical,https://www.crunchbase.com/organization/nano-precision-medical,"Health Care, Therapeutics",2,2366583,Venture - Series Unknown,2366583,Venture - Series Unknown,4366583,4366583,2016
Relieve Genetics,https://www.crunchbase.com/organization/relieve-genetics,"Health Care, Pharmaceutical",1,4333713,Venture - Series Unknown,4333713,Venture - Series Unknown,4333713,4333713,2016
RevMAb Biosciences,https://www.crunchbase.com/organization/revmab-biosciences,"Customer Service, Medical Device",1,4300000,Venture - Series Unknown,4300000,Venture - Series Unknown,4300000,4300000,2016
Geltor,https://www.crunchbase.com/organization/geltor,Advanced Materials,2,2250000,Seed,2250000,Seed,2500000,2500000,2016
Delpor,https://www.crunchbase.com/organization/delpor,"Biopharma, Commercial",3,1000000,Series A,1000000,Series A,1900492,2370492,2016
NextGen Jane,https://www.crunchbase.com/organization/nextgen-jane,"Health Care, Medical",2,2217234,Venture - Series Unknown,2217234,Venture - Series Unknown,2217234,2317234,2016
Biome Makers,https://www.crunchbase.com/organization/biome-makers,"Agriculture, Bioinformatics, Genetics, Machine Learning, Wine And Spirits",2,2200000,Seed,2200000,Seed,2200000,2300000,2016
Proxim Diagnostics,https://www.crunchbase.com/organization/proxim-diagnostics,"Health Diagnostics, Medical Device",1,2270182,Venture - Series Unknown,2270182,Venture - Series Unknown,2270182,2270182,2016
Rodo Medical,https://www.crunchbase.com/organization/rodo-medical,"Health Care, Medical Device",2,570020,Debt Financing,1620431,Venture - Series Unknown,1620431,2190451,2016
Bullet ,https://www.crunchbase.com/organization/bullet-,Medical,3,343995,Debt Financing,1135198,Series A,1135198,2179027,2016
SomaGenics,https://www.crunchbase.com/organization/somagenics,,1,1800000,Grant,,,,1800000,2016
Koniku,https://www.crunchbase.com/organization/koniku,"Life Science, Neuroscience",2,1400980,Venture - Series Unknown,1400980,Venture - Series Unknown,1650980,1650980,2016
MIODx,https://www.crunchbase.com/organization/miodx,"Health Care, Medical Device",1,1500000,Seed,1500000,Seed,1500000,1500000,2016
Synthomics,https://www.crunchbase.com/organization/synthomics,"Genetics, Life Science",2,,Venture - Series Unknown,,Venture - Series Unknown,,1140000,2016
"Syntekabio, Inc.",https://www.crunchbase.com/organization/syntekabio-inc,"Medical, Service Industry",1,877000,Venture - Series Unknown,877000,Venture - Series Unknown,877000,877000,2016
Bioxiness Pharmaceuticals,https://www.crunchbase.com/organization/bioxiness-pharmaceuticals,"Health Care, Pharmaceutical",2,502000,Convertible Note,,,,804568,2016
BioCellection,https://www.crunchbase.com/organization/biocellection,"Recycling, Textiles, Waste Management",3,150000,Grant,600000,Seed,650000,800000,2016
Cureseq,https://www.crunchbase.com/organization/cureseq,"Bioinformatics, Genetics",2,,Venture - Series Unknown,,Venture - Series Unknown,700000,700000,2016
Zymochem,https://www.crunchbase.com/organization/zymochem,"Chemical, Industrial",2,350000,Seed,350000,Seed,350000,350000,2016
Loop Genomics,https://www.crunchbase.com/organization/loop-genomics,"Genetics, Information Technology, Medical",2,,Venture - Series Unknown,,Venture - Series Unknown,120000,120000,2016
Particle,https://www.crunchbase.com/organization/particle-4,"Commercial, Life Science",1,75000,Angel,75000,Angel,75000,75000,2016
Brite Health,https://www.crunchbase.com/organization/brite-health,"Artificial Intelligence, Data Visualization, Health Care",2,,Seed,,Seed,,,2016
MycoWorks,https://www.crunchbase.com/organization/mycoworks,,1,,Seed,,Seed,,,2016
Jungla Inc.,https://www.crunchbase.com/organization/jungla,"Genetics, Health Care, Health Diagnostics",2,,Seed,,Seed,,,2016
Luminist,https://www.crunchbase.com/organization/luminist,"Health Care, Health Diagnostics",1,,Seed,,Seed,,,2016
BioNascent,https://www.crunchbase.com/organization/bionascent,"Information Services, News",1,,Seed,,Seed,,,2016
PhysioCue,https://www.crunchbase.com/organization/physiocue,"Health Care, Medical Device",2,,Venture - Series Unknown,,Venture - Series Unknown,,,2016
Vector Laboratories,https://www.crunchbase.com/organization/vector-laboratories,"Health Care, Health Diagnostics",1,,Private Equity,,Private Equity,,,2016
Amaryllis Nucleics,https://www.crunchbase.com/organization/amaryllis-nucleics,,1,,Seed,,Seed,,,2016
Genome Surveillance,https://www.crunchbase.com/organization/genome-surveillance,Genetics,1,,Seed,,Seed,,,2016
AstRoNA Biotechnologies,https://www.crunchbase.com/organization/astrona-biotechnologies,"Health Care, Pharmaceutical",1,,Seed,,Seed,,,2016
Endura Bio,https://www.crunchbase.com/organization/endura-bio,"Agriculture, Farming",1,,Seed,,Seed,,,2016
CellSight Technologies,https://www.crunchbase.com/organization/cellsight-technologies,,1,,Venture - Series Unknown,,Venture - Series Unknown,,,2016
iPug,https://www.crunchbase.com/organization/ipug,,1,,Series A,,Series A,,,2016
ConcentRx,https://www.crunchbase.com/organization/concentrx,,1,,Venture - Series Unknown,,Venture - Series Unknown,,,2016
