Organization/Person Name,Organization/Person Name URL,Categories,Number of Funding Rounds,Last Funding Amount ($),Last Funding Type,Last Equity Funding Amount ($),Last Equity Funding Type,Total Equity Funding Amount ($),Total Funding Amount ($),Year
Alexo Therapeutics Limited,https://www.crunchbase.com/organization/alexo-therapeutics-limited,"Health Care, Industrial, Life Science, Therapeutics",2,25000000,Convertible Note,36000000,Series A,36000000,61000000,2017
Harpoon Therapeutics,https://www.crunchbase.com/organization/harpoon-therapeutics,"Health Care, Therapeutics",2,45000000,Series B,45000000,Series B,60000000,60000000,2017
Medeor Therapeutics,https://www.crunchbase.com/organization/medeor-therapeutics,"Pharmaceutical, Therapeutics",1,57000000,Series B,57000000,Series B,57000000,57000000,2017
BlackThorn Therapeutics,https://www.crunchbase.com/organization/blackthorn-therapeutics,"Biopharma, Health Care, Therapeutics",2,14000000,Series A,14000000,Series A,54000000,54000000,2017
Channel Medsystems,https://www.crunchbase.com/organization/channel-medsystems,"Health Care, Women's",6,14100000,Series C,14100000,Series C,46887000,52887000,2017
Synthego,https://www.crunchbase.com/organization/stealthy,"Genetics, Industrial Automation, Innovation Management, Software",3,41000000,Series B,41000000,Series B,49294226,49544226,2017
LogicBio Therapeutics,https://www.crunchbase.com/organization/logicbio-therapeutics,Genetics,2,45000000,Series B,45000000,Series B,48999911,48999911,2017
Reviva Pharmaceuticals,https://www.crunchbase.com/organization/reviva-pharmaceuticals,"Biopharma, Genetics, Pharmaceutical",5,4800000,Convertible Note,15831541,Series D,35456381,41410468,2017
Vivace Therapeutics,https://www.crunchbase.com/organization/vivace-therapeutics,"Medical, Therapeutics",2,25000000,Series B,25000000,Series B,40000000,40000000,2017
GigaGen,https://www.crunchbase.com/organization/gigagen,"Genetics, Medical, Therapeutics",7,35000000,Undisclosed,35000000,Undisclosed,35000000,37550000,2017
Amphivena Therapeutics,https://www.crunchbase.com/organization/amphivena-therapeutics,"Health Care, Therapeutics",3,7000000,Series B,7000000,Series B,35000000,35000000,2017
Aerin Medical,https://www.crunchbase.com/organization/aerin-medical,"Health Care, Medical Device",5,15000000,Debt Financing,16700000,Series C,17474998,32474998,2017
PellePharm,https://www.crunchbase.com/organization/pellepharm,"Medical Device, Therapeutics",7,20000000,Series B,20000000,Series B,31394823,31394823,2017
"Two Pore Guys, Inc.",https://www.crunchbase.com/organization/two-pore-guys-inc,"Health Care, Medical, Medical Device",2,24500000,Series A,24500000,Series A,29683662,29683662,2017
BioVentrix,https://www.crunchbase.com/organization/bioventrix,"Health Care, Medical Device",3,14504967,Convertible Note,14000000,Venture - Series Unknown,14000000,28864967,2017
Adynxx,https://www.crunchbase.com/organization/adynxx,"Biopharma, Pharmaceutical",4,16000000,Series B,16000000,Series B,23540560,23540560,2017
Trigemina,https://www.crunchbase.com/organization/trigemina,Medical,6,2400000,Series A,2400000,Series A,23104967,23104967,2017
Chronix Biomedical,https://www.crunchbase.com/organization/chronix-biomedical,"Health Diagnostics, Medical",9,3306954,Venture - Series Unknown,3306954,Venture - Series Unknown,21503463,21503463,2017
Cofactor Genomics,https://www.crunchbase.com/organization/cofactor-genomics,"Clinical Trials, Genetics, Health Care, Health Diagnostics",4,18000000,Series A,18000000,Series A,20950000,20950000,2017
Notable Labs,https://www.crunchbase.com/organization/notable-labs-2,"Health Care, Test and Measurement",4,14840492,Series A,14840492,Series A,20890492,20890492,2017
EchoPixel,https://www.crunchbase.com/organization/echopixel,"Health Care, Medical",6,8500000,Series A,8500000,Series A,14349997,14349997,2017
NeuroVia,https://www.crunchbase.com/organization/neurovia,,1,14000000,Series A,14000000,Series A,14000000,14000000,2017
Xcell Biosciences,https://www.crunchbase.com/organization/xcell-biosciences,Health Diagnostics,2,12000000,Series A,12000000,Series A,12000000,12100000,2017
Napo Pharmaceuticals,https://www.crunchbase.com/organization/napo-pharmaceuticals,"Collaboration, Medical",6,2000000,Debt Financing,3087500,Venture - Series Unknown,9944369,12081869,2017
3T Biosciences,https://www.crunchbase.com/organization/3t-biosciences,"Biopharma, Health Care",2,12000000,Seed,12000000,Seed,12000000,12000000,2017
CytoVale,https://www.crunchbase.com/organization/cytovale,"Analytics, Life Science",3,7249989,Series B,7249989,Series B,11549989,11549989,2017
"Perlara, PBC",https://www.crunchbase.com/organization/perlstein-lab,"Genetics, Medical, Pharmaceutical, Therapeutics",6,4143002,Series A,4143002,Series A,11463002,11463002,2017
"BioTrace Medical, Inc.",https://www.crunchbase.com/organization/biotrace-medical,"Medical, Medical Device",3,5681262,Venture - Series Unknown,5681262,Venture - Series Unknown,10874967,10874967,2017
4D Molecular Therapeutics,https://www.crunchbase.com/organization/4d-molecular-therapeutics,Genetics,2,3000000,Venture - Series Unknown,3000000,Venture - Series Unknown,9999995,9999995,2017
Riffyn,https://www.crunchbase.com/organization/riffyn,"Pharmaceutical, Software",3,4900000,Series A,4900000,Series A,9900000,9900000,2017
Akoya Biosciences,https://www.crunchbase.com/organization/akoya-biosciences,,1,9000000,Venture - Series Unknown,9000000,Venture - Series Unknown,9000000,9000000,2017
LevitasBio,https://www.crunchbase.com/organization/levitasbio,,1,8000001,Venture - Series Unknown,8000001,Venture - Series Unknown,8000001,8000001,2017
Trace Genomics,https://www.crunchbase.com/organization/trace-genomics,"Agriculture, Farming, Genetics",2,4000000,Seed,4000000,Seed,8000000,8000000,2017
SafeTraces,https://www.crunchbase.com/organization/safetraces,"Food and Beverage, Food Processing, Organic Food",2,6500000,Series A,6500000,Series A,8000000,8000000,2017
Paragon Genomics,https://www.crunchbase.com/organization/paragon-genomics,,1,8000000,Series A,8000000,Series A,8000000,8000000,2017
Ukko,https://www.crunchbase.com/organization/ukko,,1,7699997,Venture - Series Unknown,7699997,Venture - Series Unknown,7699997,7699997,2017
Xip,https://www.crunchbase.com/organization/xip,"Health Care, Health Diagnostics, Medical, Medical Device",6,3000000,Grant,3000000,Series A,3000000,7675000,2017
Circle Pharma,https://www.crunchbase.com/organization/circle-pharma,"Clinical Trials, Therapeutics",3,2000000,Series A,2000000,Series A,6500000,6500000,2017
SyntheX,https://www.crunchbase.com/organization/synthex,"Life Science, Pharmaceutical, Therapeutics",3,6150000,Seed,6150000,Seed,6150000,6400000,2017
Steep Hill Labs,https://www.crunchbase.com/organization/steep-hill-cannabis-analysis-laboratory,"Medical, Recreation",3,2000000,Venture - Series Unknown,2000000,Venture - Series Unknown,3000050,6250050,2017
Aromyx,https://www.crunchbase.com/organization/aromyx,"Analytics, Artificial Intelligence, Big Data, Machine Learning",6,,Seed,,Seed,5808000,5808000,2017
Geom Therapeutics,https://www.crunchbase.com/organization/geom-therapeutics,,1,4355000,Venture - Series Unknown,4355000,Venture - Series Unknown,4355000,4355000,2017
Shield Diagnostics,https://www.crunchbase.com/organization/tl-biolabs,"Genetics, Health Diagnostics",1,4000000,Seed,4000000,Seed,4000000,4000000,2017
Demetrix,https://www.crunchbase.com/organization/demetrix,,1,4000000,Seed,4000000,Seed,4000000,4000000,2017
TRELYS,https://www.crunchbase.com/organization/trelys,"Life Science, Pharmaceutical",3,80000,Venture - Series Unknown,80000,Venture - Series Unknown,3830000,3830000,2017
Athelas,https://www.crunchbase.com/organization/athelas,Artificial Intelligence,3,3500000,Seed,3500000,Seed,3620000,3620000,2017
Chai,https://www.crunchbase.com/organization/chai,"Health Diagnostics, Life Science, Medical Device",2,2000000,Seed,2000000,Seed,3400000,3400000,2017
TurnCare,https://www.crunchbase.com/organization/turncare,Therapeutics,1,3300000,Series A,3300000,Series A,3300000,3300000,2017
Darmiyan,https://www.crunchbase.com/organization/darmiyan,"Health Care, Health Diagnostics, Medical",4,3080000,Seed,3080000,Seed,3200000,3200000,2017
NGX Bio,https://www.crunchbase.com/organization/ngx-bio,,1,3000000,Venture - Series Unknown,3000000,Venture - Series Unknown,3000000,3000000,2017
BillionToOne,https://www.crunchbase.com/organization/billiontoone,"Genetics, Health Care, Medical",2,2400000,Seed,2400000,Seed,2520000,2520000,2017
Octave Bioscience,https://www.crunchbase.com/organization/octave-bioscience,,1,2500000,Seed,2500000,Seed,2500000,2500000,2017
Apostle Inc,https://www.crunchbase.com/organization/apostle-inc,,1,2350000,Seed,2350000,Seed,2350000,2350000,2017
Nanofactory,https://www.crunchbase.com/organization/nanofactory,,1,2030580,Venture - Series Unknown,2030580,Venture - Series Unknown,2030580,2030580,2017
Kura Technologies ,https://www.crunchbase.com/organization/aurora-tech-inc,"Artificial Intelligence, Augmented Reality, Electronics, Hardware, Manufacturing, Optical Communication, Semiconductor, Software",1,1500000,Seed,1500000,Seed,1500000,1500000,2017
Scaled Biolabs,https://www.crunchbase.com/organization/scaled-biolabs,Analytics,4,,Seed,,Seed,100000,907528,2017
Intabio ,https://www.crunchbase.com/organization/intabio,,1,851993,Venture - Series Unknown,851993,Venture - Series Unknown,851993,851993,2017
Ligandal,https://www.crunchbase.com/organization/ligandal-technology,"Genetics, Nanotechnology",5,,Seed,,Seed,780000,844000,2017
Mekonos Inc.,https://www.crunchbase.com/organization/mekonos-2,"Nanotechnology, Robotics, Semiconductor",7,,Non-equity Assistance,,,,800000,2017
OneSkin Technology,https://www.crunchbase.com/organization/oneskin,"Cosmetics, Test and Measurement",2,626594,Seed,626594,Seed,626594,626594,2017
Nivien Therapeutics,https://www.crunchbase.com/organization/nivien-therapeutics,"Health Care, Pharmaceutical",1,600000,Seed,600000,Seed,600000,600000,2017
Novome Biotechnologies,https://www.crunchbase.com/organization/novome-biotechnologies,,1,535623,Seed,535623,Seed,535623,535623,2017
BeeFlow,https://www.crunchbase.com/organization/beeflow,"Agriculture, Natural Resources, Sustainability",2,250000,Seed,250000,Seed,450000,450000,2017
Antibiotic Adjuvant,https://www.crunchbase.com/organization/antibiotic-adjuvant,"Health Care, Information Technology, Machine Learning, Medical",1,250000,Convertible Note,,,,250000,2017
Qualio,https://www.crunchbase.com/organization/qualio,"Cloud Computing, Internet, Life Science, Medical Device, Pharmaceutical, Software",3,,Venture - Series Unknown,,Venture - Series Unknown,125000,125000,2017
Rev Genomics,https://www.crunchbase.com/organization/rev-genomics,"Agriculture, Big Data",1,120000,Seed,120000,Seed,120000,120000,2017
Visolis Bio,https://www.crunchbase.com/organization/visolis-bio,"Environmental Engineering, Renewable Energy",2,,Convertible Note,,,,"€50,000",2017
Terramino Foods,https://www.crunchbase.com/organization/terramino-foods,"Food and Beverage, Medical",1,,Seed,,Seed,,,2017
Sugarlogix,https://www.crunchbase.com/organization/sugarlogix,"Consumer Goods, Food and Beverage, Health Care",1,,Seed,,Seed,,,2017
Miraculex,https://www.crunchbase.com/organization/miraculex,"Food and Beverage, Nutrition",2,,Seed,,Seed,,,2017
Dahlia Biosciences,https://www.crunchbase.com/organization/dahlia-biosciences,"Health Care, Medical",1,,Seed,,Seed,,,2017
Chimera Bioengineering,https://www.crunchbase.com/organization/chimera-bioengineering,"Bioinformatics, Genetics",2,,Seed,,Seed,,,2017
"Artveoli, Inc.",https://www.crunchbase.com/organization/artveoli-inc,"CleanTech, Hardware, Internet of Things",2,,Seed,,Seed,,,2017
DNALite Therapeutics,https://www.crunchbase.com/organization/dnalite-therapeutics,"Genetics, Health Care",2,,Seed,,Seed,,,2017
CinderBio,https://www.crunchbase.com/organization/cinderbio,"Chemical, Water",2,,Seed,,Seed,,,2017
VitroLabs,https://www.crunchbase.com/organization/vitrolabs,3D Technology,1,,Seed,,Seed,,,2017
"Onconetics Pharmaceuticals, Inc.",https://www.crunchbase.com/organization/onconetics-pharmaceuticals-inc,"Medical, Pharmaceutical",1,,Seed,,Seed,,,2017
Mezomax,https://www.crunchbase.com/organization/mezomax,"Health Care, Medical",1,,Seed,,Seed,,,2017
Pheromyn,https://www.crunchbase.com/organization/pheromyn,"Agriculture, Life Science",2,,Convertible Note,,Seed,,,2017
Encellin,https://www.crunchbase.com/organization/encellin,Medical Device,1,,Grant,,,,,2017
Stelvio Oncology,https://www.crunchbase.com/organization/stelvio-oncology,"Medical, Pharmaceutical",1,,Seed,,Seed,,,2017
Nanotech Biomachines,https://www.crunchbase.com/organization/nanotech-biomachines,,3,,Seed,,Seed,,,2017
Srnalytics,https://www.crunchbase.com/organization/srnalytics,"Health Care, Medical",1,,Seed,,Seed,,,2017
UBA Biologix,https://www.crunchbase.com/organization/uba-biologix,"Mining, Water Purification",1,,Seed,,Seed,,,2017
Meissa Vaccines,https://www.crunchbase.com/organization/meissa-vaccines,,1,,Seed,,Seed,,,2017
NuLeaf Tech Inc,https://www.crunchbase.com/organization/nuleaf-tech-inc,"Biofuel, Biomass Energy, Clean Energy, CleanTech, Renewable Energy, Sustainability, Waste Management, Water, Water Purification",1,,Convertible Note,,,,,2017
